,name,production,distributor,artist,st_day,ed_day,score,rank,장르,런타임,성별,활동유형
1755,전하지 못한 진심,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,12827352,38,가요 / 발라드,04:02:00,남성,그룹
1756,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018-08-19,2018-08-25,12642375,39,가요 / 발라드,04:09:00,남성,솔로
1757,What is Love?,JYP Entertainment,Dreamus,TWICE,2018-08-19,2018-08-25,12580502,40,가요 / 댄스,03:28:00,여성,그룹
1758,LATATA,큐브엔터테인먼트,카카오 M,(여자)아이들,2018-08-19,2018-08-25,12530566,41,가요 / 댄스,03:23:00,여성,그룹
1759,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,12398000,42,가요 / 랩/힙합,03:43:00,남성,그룹
1760,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-08-19,2018-08-25,12245656,43,가요 / 인디,04:21:00,남성,듀엣
1761,Answer _ Love Myself,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,12140543,44,가요 / 랩/힙합,04:11:00,남성,그룹
1762,빙글뱅글,FNC엔터테인먼트,카카오 M,AOA,2018-08-19,2018-08-25,12110002,45,가요 / 댄스,03:42:00,여성,그룹
1763,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018-08-19,2018-08-25,12107528,46,OST / 드라마,04:39:00,남성,솔로
1764,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018-08-19,2018-08-25,12070128,47,가요 / 댄스,03:33:00,여성,솔로
1765,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018-08-19,2018-08-25,11991353,48,POP / 팝,03:54:00,남성,솔로
1766,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,11845976,49,가요 / 댄스,04:34:00,남성,그룹
1767,Universe,SM Entertainment,Dreamus,EXO,2018-08-19,2018-08-25,11649753,50,가요 / 발라드,04:24:00,남성,그룹
1768,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로,2018-08-19,2018-08-25,11519206,51,가요 / 발라드,05:07:00,남성,솔로
1769,Epiphany,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,11482101,52,가요 / 랩/힙합,04:00:00,남성,그룹
1770,비,뉴런뮤직,NHN벅스,폴킴,2018-08-19,2018-08-25,11467687,53,가요 / R&B/소울,03:58:00,남성,솔로
1771,Trivia 起 _ Just Dance,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,11311263,54,가요 / 랩/힙합,03:45:00,남성,그룹
1772,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유,2018-08-19,2018-08-25,11164351,55,가요 / 발라드,04:13:00,여성,솔로
1773,소나기,어라운드 어스,카카오 M,용준형,2018-08-19,2018-08-25,10916612,56,가요 / 랩/힙합,03:25:00,남성,솔로
1774,너에게 닿기를,Stone Music Entertainment,Stone Music Entertainment,기억 조작단,2018-08-19,2018-08-25,10815187,57,가요 / 댄스,03:31:00,여성,그룹
1775,왜 몰랐을까,Stone Music Entertainment,Stone Music Entertainment,로이킴,2018-08-19,2018-08-25,10757612,58,OST / 드라마,03:37:00,남성,솔로
1776,Trivia 轉 _ Seesaw,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,10739669,59,가요 / 랩/힙합,04:06:00,남성,그룹
1777,붕붕,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-08-19,2018-08-25,10587899,60,가요 / 랩/힙합,03:55:00,남성,솔로
1778,빨간 맛,SM Entertainment,Dreamus,레드벨벳,2018-08-19,2018-08-25,10527482,61,가요 / 댄스,03:11:00,여성,그룹
1779,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈,2018-08-19,2018-08-25,10380807,62,가요 / 발라드,05:03:00,남성,솔로
1780,Trivia 承 _ Love,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,10203570,63,가요 / 랩/힙합,03:46:00,남성,그룹
1781,어쩌나,플레디스,카카오 M,세븐틴,2018-08-19,2018-08-25,10057251,64,가요 / 댄스,03:15:00,남성,그룹
1782,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018-08-19,2018-08-25,10028354,65,POP / 락,03:07:00,남성,그룹
1783,Rollin` Rollin`,Stone Music Entertainment,Stone Music Entertainment,러브포션,2018-08-19,2018-08-25,9853416,66,가요 / 댄스,02:55:00,여성,그룹
1784,에너제틱,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-19,2018-08-25,9644725,67,가요 / 댄스,03:09:00,남성,그룹
1785,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018-08-19,2018-08-25,9464803,68,가요 / 트로트,03:18:00,여성,솔로
1786,켜줘,"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,Wanna One,2018-08-19,2018-08-25,9435724,69,가요 / 댄스,03:30:00,남성,그룹
1787,1000%,Stone Music Entertainment,Stone Music Entertainment,Summer Wish,2018-08-19,2018-08-25,9404285,70,가요 / 댄스,03:36:00,여성,그룹
1788,장마,RBW,카카오 M,마마무,2018-08-19,2018-08-25,9284879,71,가요 / R&B/소울,03:42:00,여성,그룹
1789,그리워하다,큐브엔터테인먼트,카카오 M,비투비,2018-08-19,2018-08-25,9136855,72,가요 / 발라드,03:57:00,남성,그룹
1790,미워도 다시 한 번,PLAYLIST,카카오 M,벤,2018-08-19,2018-08-25,8977111,73,OST / 드라마,04:25:00,여성,솔로
1791,Youth,Universal Music,Universal Music,Troye Sivan,2018-08-19,2018-08-25,8958277,74,POP / 팝,03:05:00,남성,솔로
1792,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018-08-19,2018-08-25,8954935,75,가요 / 댄스,03:33:00,여성,그룹
1793,Anpanman,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,8905898,76,가요 / 랩/힙합,03:53:00,남성,그룹
1794,Serendipity,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,8677549,77,가요 / 랩/힙합,04:37:00,남성,그룹
1795,캥거루,"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,Wanna One,2018-08-19,2018-08-25,8592295,78,가요 / 댄스,03:43:00,남성,그룹
1796,좋은 날,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,멜로망스,2018-08-19,2018-08-25,8562132,79,OST / 드라마,05:30:00,남성,듀엣
1797,다시 만나,Stone Music Entertainment,Stone Music Entertainment,약속,2018-08-19,2018-08-25,8511812,80,가요 / 댄스,03:08:00,여성,그룹
1798,스무살이 왜이리 능글맞아,로맨틱팩토리,카카오 M,오반,2018-08-19,2018-08-25,8370035,81,가요 / 랩/힙합,03:49:00,남성,솔로
1799,Cereal,아메바컬쳐,Stone Music Entertainment,크러쉬,2018-08-19,2018-08-25,8271053,82,가요 / R&B/소울,03:38:00,남성,솔로
1800,비도 오고 그래서,Stone Music Entertainment,Stone Music Entertainment,헤이즈,2018-08-19,2018-08-25,8225921,83,가요 / 랩/힙합,03:25:00,여성,솔로
1801,Chandelier,Monkey Puzzle Records,Sony Music,Sia,2018-08-19,2018-08-25,8106031,84,POP / 팝,03:36:00,여성,솔로
1802,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018-08-19,2018-08-25,7762971,85,가요 / 랩/힙합,03:26:00,남성,그룹
1803,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,7723348,86,가요 / 랩/힙합,03:43:00,남성,그룹
1804,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,7723348,86,가요 / 랩/힙합,03:43:00,남성,그룹
1805,BOOMERANG,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-19,2018-08-25,7536255,87,가요 / 댄스,03:04:00,남성,그룹
1806,이 별,뮤직웍스,지니뮤직,길구봉구,2018-08-19,2018-08-25,7492975,88,가요 / 발라드,03:58:00,남성,그룹
1807,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리,2018-08-19,2018-08-25,7376199,89,OST / 드라마,03:50:00,여성,솔로
1808,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-19,2018-08-25,7325947,90,가요 / 발라드,03:17:00,남성,그룹
1809,마치 우린 없었던 사이,Stone Music Entertainment,Stone Music Entertainment,다비치,2018-08-19,2018-08-25,7288011,91,가요 / 발라드,03:52:00,여성,듀엣
1810,I AM,Stone Music Entertainment,Stone Music Entertainment,새벽 한 시,2018-08-19,2018-08-25,7286071,92,가요 / 댄스,03:24:00,여성,그룹
1811,늘 그대,옹달샘,카카오 M,"양희은, 성시경",2018-08-19,2018-08-25,7194064,93,가요 / 블루스/포크,03:21:00,남성,솔로
1812,Airplane pt.2,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,7186034,94,가요 / 전체,03:39:00,남성,그룹
1813,Page 0,SM Entertainment,Dreamus,태연,2018-08-19,2018-08-25,7129253,95,가요 / 발라드,03:07:00,혼성,프로젝트
1814,Vacation,아메바컬쳐,Stone Music Entertainment,개코,2018-08-19,2018-08-25,7068843,96,가요 / R&B/소울,04:18:00,남성,솔로
1815,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018-08-19,2018-08-25,7036840,97,가요 / 댄스,03:31:00,여성,그룹
1816,Dejavu,플레디스,Stone Music Entertainment,뉴이스트 W,2018-08-19,2018-08-25,7036741,98,가요 / 댄스,03:20:00,남성,그룹
1817,좋니,미스틱스토리,카카오 M,윤종신,2018-08-19,2018-08-25,6935039,99,가요 / 발라드,05:28:00,남성,솔로
1818,Magic Shop,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-19,2018-08-25,6635386,100,가요 / 일렉트로니카,04:36:00,남성,그룹
1819,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,42994924,1,가요 / 랩/힙합,03:43:00,남성,그룹
1820,Way Back Home,디씨톰엔터테인먼트,Warner Music,숀,2018-08-26,2018-09-01,42475652,2,가요 / 일렉트로니카,03:34:00,남성,솔로
1821,Power Up,SM Entertainment,Dreamus,레드벨벳,2018-08-26,2018-09-01,33972656,3,가요 / 댄스,03:22:00,여성,그룹
1822,매트리스,매직스트로베리사운드,카카오 M,10cm,2018-08-26,2018-09-01,32105469,4,가요 / 인디,02:51:00,남성,솔로
1823,뚜두뚜두,YG Entertainment,지니뮤직,BLACKPINK,2018-08-26,2018-09-01,30883606,5,가요 / 댄스,03:29:00,여성,그룹
1824,Dance The Night Away,JYP Entertainment,Dreamus,TWICE,2018-08-26,2018-09-01,30018600,6,가요 / 댄스,03:01:00,여성,그룹
1825,"모든 날, 모든 순간",SM Entertainment,Dreamus,폴킴,2018-08-26,2018-09-01,29113743,7,OST / 드라마,03:31:00,남성,솔로
1826,너나 해,RBW,카카오 M,마마무,2018-08-26,2018-09-01,25804474,8,가요 / 댄스,03:16:00,여성,그룹
1827,한,큐브엔터테인먼트,카카오 M,(여자)아이들,2018-08-26,2018-09-01,25150538,9,가요 / 댄스,03:26:00,여성,그룹
1828,SoulMate,세븐시즌스,Sony Music,지코,2018-08-26,2018-09-01,24789855,10,가요 / R&B/소울,03:39:00,남성,솔로
1829,Euphoria,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,23187073,11,가요 / 랩/힙합,03:49:00,남성,그룹
1830,열애중,메이저나인,지니뮤직,벤,2018-08-26,2018-09-01,22935451,12,가요 / 발라드,04:31:00,여성,솔로
1831,여행,쇼파르뮤직,카카오 M,볼빨간사춘기,2018-08-26,2018-09-01,22707550,13,가요 / 인디,03:41:00,여성,솔로
1832,I`m Fine,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,22371897,14,가요 / 랩/힙합,04:00:00,남성,그룹
1833,1도 없어,플레이엠엔터테인먼트,카카오 M,에이핑크,2018-08-26,2018-09-01,22079038,15,가요 / 댄스,03:19:00,여성,그룹
1834,YOUNG,SM Entertainment,Dreamus,백현,2018-08-26,2018-09-01,21065949,16,가요 / R&B/소울,03:50:00,남성,프로젝트
1835,Forever Young,YG Entertainment,지니뮤직,BLACKPINK,2018-08-26,2018-09-01,20532166,17,가요 / 댄스,03:57:00,여성,그룹
1836,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로,2018-08-26,2018-09-01,19188482,18,가요 / 발라드,04:41:00,남성,솔로
1837,FAKE LOVE,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,17917340,19,가요 / 랩/힙합,04:02:00,남성,그룹
1838,동화,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-08-26,2018-09-01,17799932,20,가요 / 인디,03:47:00,남성,듀엣
1839,셋 셀테니,YG Entertainment,지니뮤직,승리,2018-08-26,2018-09-01,17277091,21,가요 / 댄스,03:25:00,남성,솔로
1840,Love U,MNH Entertainment,Stone Music Entertainment,청하,2018-08-26,2018-09-01,17098395,22,가요 / 댄스,03:11:00,여성,솔로
1841,죽겠다,YG Entertainment,지니뮤직,iKON,2018-08-26,2018-09-01,16039935,23,가요 / 댄스,03:14:00,남성,그룹
1842,Answer _ Love Myself,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,15856305,24,가요 / 랩/힙합,04:11:00,남성,그룹
1843,주지마,한국방송공사,카카오 M,"로꼬, 화사",2018-08-26,2018-09-01,15836596,25,가요 / 발라드,03:52:00,혼성,프로젝트
1844,너 없인 안 된다,큐브엔터테인먼트,카카오 M,비투비,2018-08-26,2018-09-01,15780494,26,가요 / 발라드,03:47:00,남성,그룹
1845,왜 몰랐을까,Stone Music Entertainment,Stone Music Entertainment,로이킴,2018-08-26,2018-09-01,15413510,27,OST / 드라마,03:37:00,남성,솔로
1846,사랑을 했다,YG Entertainment,지니뮤직,iKON,2018-08-26,2018-09-01,14928933,28,가요 / 랩/힙합,03:30:00,남성,그룹
1847,비,뉴런뮤직,NHN벅스,폴킴,2018-08-26,2018-09-01,14901709,29,가요 / R&B/소울,03:58:00,남성,솔로
1848,Epiphany,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,14237441,30,가요 / 랩/힙합,04:00:00,남성,그룹
1849,You,JTBC,인터파크,멜로망스,2018-08-26,2018-09-01,13906903,31,가요 / 발라드,04:32:00,남성,듀엣
1850,BAAM,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드,2018-08-26,2018-09-01,13764954,32,가요 / 댄스,03:29:00,여성,그룹
1851,Havana,Syco Music/Epic,Sony Music,Camila Cabello,2018-08-26,2018-09-01,13451016,33,POP / 팝,03:37:00,여성,솔로
1852,그날처럼,리메즈,카카오 M,장덕철,2018-08-26,2018-09-01,13414028,34,가요 / 발라드,03:53:00,남성,그룹
1853,미안해,브랜뉴뮤직,카카오 M,양다일,2018-08-26,2018-09-01,13313272,35,가요 / R&B/소울,03:49:00,남성,솔로
1854,밤,쏘스뮤직,카카오 M,여자친구,2018-08-26,2018-09-01,13204009,36,가요 / 댄스,03:47:00,여성,그룹
1855,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2018-08-26,2018-09-01,13089841,37,가요 / 발라드,04:09:00,남성,솔로
1856,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2018-08-26,2018-09-01,12934458,38,POP / 팝,03:13:00,혼성,밴드
1857,Trivia 轉 _ Seesaw,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,12879132,39,가요 / 랩/힙합,04:06:00,남성,그룹
1858,여름여름해,쏘스뮤직,카카오 M,여자친구,2018-08-26,2018-09-01,12732568,40,가요 / 댄스,03:19:00,여성,그룹
1859,전하지 못한 진심,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,12470503,41,가요 / 발라드,04:02:00,남성,그룹
1860,Trivia 起 _ Just Dance,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,12313035,42,가요 / 랩/힙합,03:45:00,남성,그룹
1861,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드,2018-08-26,2018-09-01,12124404,43,가요 / 댄스,03:29:00,여성,그룹
1862,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-08-26,2018-09-01,12115675,44,가요 / 인디,04:21:00,남성,듀엣
1863,별이 빛나는 밤,RBW,카카오 M,마마무,2018-08-26,2018-09-01,12114009,45,가요 / 댄스,03:31:00,여성,그룹
1864,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유,2018-08-26,2018-09-01,11918395,46,가요 / 발라드,04:13:00,여성,솔로
1865,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2018-08-26,2018-09-01,11707738,47,OST / 드라마,04:39:00,남성,솔로
1866,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2018-08-26,2018-09-01,11592656,48,POP / 팝,03:54:00,남성,솔로
1867,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로,2018-08-26,2018-09-01,11579799,49,가요 / 발라드,05:07:00,남성,솔로
1868,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,11566231,50,가요 / 랩/힙합,03:43:00,남성,그룹
1869,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,11484341,51,가요 / 댄스,04:34:00,남성,그룹
1870,What is Love?,JYP Entertainment,Dreamus,TWICE,2018-08-26,2018-09-01,11461065,52,가요 / 댄스,03:28:00,여성,그룹
1871,소나기,어라운드 어스,카카오 M,용준형,2018-08-26,2018-09-01,11444514,53,가요 / 랩/힙합,03:25:00,남성,솔로
1872,LATATA,큐브엔터테인먼트,카카오 M,(여자)아이들,2018-08-26,2018-09-01,11440284,54,가요 / 댄스,03:23:00,여성,그룹
1873,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2018-08-26,2018-09-01,11174457,55,가요 / 댄스,03:33:00,여성,솔로
1874,Trivia 承 _ Love,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,10991929,56,가요 / 랩/힙합,03:46:00,남성,그룹
1875,Rumor,Stone Music Entertainment,Stone Music Entertainment,국.슈,2018-08-26,2018-09-01,10898108,57,가요 / 댄스,03:17:00,여성,그룹
1876,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈,2018-08-26,2018-09-01,10659239,58,가요 / 발라드,05:03:00,남성,솔로
1877,빙글뱅글,FNC엔터테인먼트,카카오 M,AOA,2018-08-26,2018-09-01,10555995,59,가요 / 댄스,03:42:00,여성,그룹
1878,비도 오고 그래서,Stone Music Entertainment,Stone Music Entertainment,헤이즈,2018-08-26,2018-09-01,10347385,60,가요 / 랩/힙합,03:25:00,여성,솔로
1879,좋은 날,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,멜로망스,2018-08-26,2018-09-01,10228211,61,OST / 드라마,05:30:00,남성,듀엣
1880,A-TEEN,PLAYLIST,카카오 M,세븐틴,2018-08-26,2018-09-01,10211913,62,OST / 드라마,03:16:00,남성,그룹
1881,붕붕,Stone Music Entertainment,Stone Music Entertainment,김하온,2018-08-26,2018-09-01,9887860,63,가요 / 랩/힙합,03:55:00,남성,솔로
1882,AND I,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,뉴이스트 W,2018-08-26,2018-09-01,9826808,64,OST / 드라마,03:54:00,남성,그룹
1883,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2018-08-26,2018-09-01,9652530,65,POP / 락,03:07:00,남성,그룹
1884,빨간 맛,SM Entertainment,Dreamus,레드벨벳,2018-08-26,2018-09-01,9434193,66,가요 / 댄스,03:11:00,여성,그룹
1885,Anpanman,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,9048783,67,가요 / 랩/힙합,03:53:00,남성,그룹
1886,꽃 길,YG Entertainment,지니뮤직,빅뱅,2018-08-26,2018-09-01,9031140,68,가요 / 트로트,03:18:00,여성,솔로
1887,그리워하다,큐브엔터테인먼트,카카오 M,비투비,2018-08-26,2018-09-01,8988779,69,가요 / 발라드,03:57:00,남성,그룹
1888,Youth,Universal Music,Universal Music,Troye Sivan,2018-08-26,2018-09-01,8909425,70,POP / 팝,03:05:00,남성,솔로
1889,장마,RBW,카카오 M,마마무,2018-08-26,2018-09-01,8823435,71,가요 / R&B/소울,03:42:00,여성,그룹
1890,마지막처럼,YG Entertainment,지니뮤직,BLACKPINK,2018-08-26,2018-09-01,8508725,72,가요 / 댄스,03:33:00,여성,그룹
1891,어쩌나,플레디스,카카오 M,세븐틴,2018-08-26,2018-09-01,8372118,73,가요 / 댄스,03:15:00,남성,그룹
1892,Universe,SM Entertainment,Dreamus,EXO,2018-08-26,2018-09-01,7925851,74,가요 / 발라드,04:24:00,남성,그룹
1893,Chandelier,Monkey Puzzle Records,Sony Music,Sia,2018-08-26,2018-09-01,7872127,75,POP / 팝,03:36:00,여성,솔로
1894,에너제틱,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-26,2018-09-01,7827320,76,가요 / 댄스,03:09:00,남성,그룹
1895,이 별,뮤직웍스,지니뮤직,길구봉구,2018-08-26,2018-09-01,7764906,77,가요 / 발라드,03:58:00,남성,그룹
1896,스무살이 왜이리 능글맞아,로맨틱팩토리,카카오 M,오반,2018-08-26,2018-09-01,7498835,78,가요 / 랩/힙합,03:49:00,남성,솔로
1897,Serendipity,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,7442327,79,가요 / 랩/힙합,04:37:00,남성,그룹
1898,Airplane pt.2,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-08-26,2018-09-01,7430023,80,가요 / 전체,03:39:00,남성,그룹
1899,Kiss Me Like That,신화컴퍼니,뮤직앤뉴,신화,2018-08-26,2018-09-01,7398535,81,가요 / 댄스,03:17:00,남성,그룹
1900,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리,2018-08-26,2018-09-01,7292550,82,OST / 드라마,03:50:00,여성,솔로
1901,켜줘,"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,Wanna One,2018-08-26,2018-09-01,7230590,83,가요 / 댄스,03:30:00,남성,그룹
1902,좋니,미스틱스토리,카카오 M,윤종신,2018-08-26,2018-09-01,7163591,84,가요 / 발라드,05:28:00,남성,솔로
1903,너에게 닿기를,Stone Music Entertainment,Stone Music Entertainment,기억 조작단,2018-08-26,2018-09-01,7156855,85,가요 / 댄스,03:31:00,여성,그룹
1904,캥거루,"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,Wanna One,2018-08-26,2018-09-01,6956797,86,가요 / 댄스,03:43:00,남성,그룹
1905,Dejavu,플레디스,Stone Music Entertainment,뉴이스트 W,2018-08-26,2018-09-01,6855802,87,가요 / 댄스,03:20:00,남성,그룹
1906,Cereal,아메바컬쳐,Stone Music Entertainment,크러쉬,2018-08-26,2018-09-01,6845463,88,가요 / R&B/소울,03:38:00,남성,솔로
1907,flex,"인디고뮤직, 딩고뮤직",카카오 M,"기리보이, Kid Milli, NO:EL, 스윙스",2018-08-26,2018-09-01,6823148,89,가요 / 랩/힙합,03:46:00,남성,프로젝트
1908,마치 우린 없었던 사이,Stone Music Entertainment,Stone Music Entertainment,다비치,2018-08-26,2018-09-01,6743604,90,가요 / 발라드,03:52:00,여성,듀엣
1909,EVERYDAY,YG Entertainment,지니뮤직,WINNER,2018-08-26,2018-09-01,6574921,91,가요 / 랩/힙합,03:26:00,남성,그룹
1910,미워도 다시 한 번,PLAYLIST,카카오 M,벤,2018-08-26,2018-09-01,6474451,92,OST / 드라마,04:25:00,여성,솔로
1911,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-26,2018-09-01,6222014,93,가요 / 발라드,03:17:00,남성,그룹
1912,BOOMERANG,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One,2018-08-26,2018-09-01,6152669,94,가요 / 댄스,03:04:00,남성,그룹
1913,Rollin` Rollin`,Stone Music Entertainment,Stone Music Entertainment,러브포션,2018-08-26,2018-09-01,6063237,95,가요 / 댄스,02:55:00,여성,그룹
1914,밤이 되니까,냠냠엔터테인먼트,Stone Music Entertainment,펀치,2018-08-26,2018-09-01,6032698,96,가요 / R&B/소울,03:26:00,여성,솔로
1915,Bad Boy,SM Entertainment,Dreamus,레드벨벳,2018-08-26,2018-09-01,5963857,97,가요 / 댄스,03:31:00,여성,그룹
1916,욕심,"민트페이퍼, 광합성",카카오 M,멜로망스,2018-08-26,2018-09-01,5905128,98,가요 / 인디,04:01:00,남성,듀엣
1917,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2018-08-26,2018-09-01,5884355,99,가요 / 발라드,04:09:00,남성,솔로
1918,시차,AOMG,Stone Music Entertainment,우원재,2018-08-26,2018-09-01,5812549,100,가요 / 랩/힙합,03:16:00,남성,솔로
1919,사이렌,메이크어스엔터테인먼트,카카오 M,선미,2018-09-02,2018-09-08,50809811,1,가요 / 댄스,03:19:00,여성,솔로
1920,Way Back Home,디씨톰엔터테인먼트,Warner Music,숀,2018-09-02,2018-09-08,42410366,2,가요 / 일렉트로니카,03:34:00,남성,솔로
1921,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2018-09-02,2018-09-08,38754686,3,가요 / 랩/힙합,03:43:00,남성,그룹
1922,Power Up,SM Entertainment,Dreamus,레드벨벳,2018-09-02,2018-09-08,31665388,4,가요 / 댄스,03:22:00,여성,그룹
1923,"모든 날, 모든 순간",SM Entertainment,Dreamus,폴킴,2018-09-02,2018-09-08,31106958,5,OST / 드라마,03:31:00,남성,솔로
1924,뚜두뚜두,YG Entertainment,지니뮤직,BLACKPINK,2018-09-02,2018-09-08,29813939,6,가요 / 댄스,03:29:00,여성,그룹
1925,Dance The Night Away,JYP Entertainment,Dreamus,TWICE,2018-09-02,2018-09-08,28532787,7,가요 / 댄스,03:01:00,여성,그룹
1926,몰랐니,SM Entertainment,Dreamus,소녀시대-Oh!GG,2018-09-02,2018-09-08,27483386,8,가요 / 댄스,03:10:00,여성,그룹
1927,열애중,메이저나인,지니뮤직,벤,2018-09-02,2018-09-08,25868743,9,가요 / 발라드,04:31:00,여성,솔로
1928,한,큐브엔터테인먼트,카카오 M,(여자)아이들,2018-09-02,2018-09-08,25163842,10,가요 / 댄스,03:26:00,여성,그룹
1929,YOUNG,SM Entertainment,Dreamus,백현,2018-09-02,2018-09-08,24892801,11,가요 / R&B/소울,03:50:00,남성,프로젝트
1930,매트리스,매직스트로베리사운드,카카오 M,10cm,2018-09-02,2018-09-08,24758074,12,가요 / 인디,02:51:00,남성,솔로
1931,너나 해,RBW,카카오 M,마마무,2018-09-02,2018-09-08,24435165,13,가요 / 댄스,03:16:00,여성,그룹
1932,SoulMate,세븐시즌스,Sony Music,지코,2018-09-02,2018-09-08,23157530,14,가요 / R&B/소울,03:39:00,남성,솔로
1933,여행,쇼파르뮤직,카카오 M,볼빨간사춘기,2018-09-02,2018-09-08,22246828,15,가요 / 인디,03:41:00,여성,솔로
