artist,name,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
레드벨벳,빨간 맛,6,10,6,Dance,spring,female,K_POP,Group,0,2018.4.29,0.48816568,0.432692308,0.32,0.598036374,0,0.551930308,0.814973326,0.077343679,0.009501846,0.007470677,0
Wanna One,에너제틱,7,10,7,Dance,spring,male,K_POP,Group,0,2018.4.29,0.482248521,0.442307692,0.25,0.857398275,0,0.551930308,0.758929233,0,0,0,0
멜로망스,선물,2,5,2,Indi,spring,male,K_POP,Duet,0,2018.4.29,0.695266272,0.961538462,0.9,0.305731339,0.82270908,0.513549813,0.743373043,0,0,0,0
박원,노력,8,10,8,Ballad,spring,male,K_POP,Solo,0,2018.4.29,0.701183432,0.163461538,0.29,0.748226857,0,0.660567269,0.101839947,0,0,0,0
방탄소년단,봄날,6,10,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.733727811,1,0.24,0.750274234,0,0.551930308,0.421637992,0.336909505,0.069112873,0.020682536,0
EXO-CBX,Playdate,10,10,9,Dance,spring,male,K_POP,Group,0,2018.4.29,0.547337278,0.019230769,0,0.418520254,0,0.551930308,0.814973326,0,0,0,0
TWICE,Heart Shaker,5,2,4,Dance,spring,female,K_POP,Group,0,2018.4.29,0.476331361,0.25,0.56,0.667785372,0.857779276,0.551930308,1,0,0,0,0
TWICE,LIKEY,5,10,5,Dance,spring,female,K_POP,Group,0,2018.4.29,0.538461538,0.115384615,0.56,0.667785372,0,0.551930308,1,0,0,0,0
Wanna One,Beautiful,7,10,7,Ballad,spring,male,K_POP,Group,0,2018.4.29,0.50591716,0.394230769,0.25,0.857398275,0,0.660567269,0.758929233,0,0,0,0
Wanna One,약속해요,7,8,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.576923077,0.173076923,0.25,0.857398275,0.795409001,0.551930308,0.758929233,0,0,0,0
WINNER,AIR,9,10,8,Dance,spring,male,K_POP,Group,0,2018.4.29,0.588757396,0.019230769,0.61,0.897386352,0,0.551930308,0.734790572,0,0,0,0
WINNER,REALLY REALLY,6,10,6,Dance,spring,male,K_POP,Group,0,2018.4.29,0.523668639,0.25,0.61,0.897386352,0,0.551930308,0.734790572,0,0,0,0
길구봉구,바람이 불었으면 좋겠어,9,10,8,R&B/Soul,spring,male,K_POP,Group,0,2018.4.29,0.609467456,0.028846154,0.24,0.492322113,0,0.56680661,0.766622789,0,0,0,0
