,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
65,2,nan,Rap/Hiphop,spring,male,K_POP,Solo,1,0.426035503,0.009615385,0.32,0.513582199,0.8437765420000001,0.477571876,0.265166517,0.0,0.0,0.0,0.0
66,7,nan,Ballad,spring,male,K_POP,Solo,1,0.532544379,0.0,0.12,0.418520254,0.790852077,0.660567269,0.13907629999999999,0.055782809,0.006587615,0.006147225,0.0
67,10,5,Rap/Hiphop,spring,female,K_POP,Solo,0,0.529585799,0.682692308,0.26,0.35302231700000003,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0
68,10,6,Dance,spring,female,K_POP,Group,0,0.48816568,0.43269230799999997,0.27,0.6021119629999999,0.0,0.551930308,0.7296225129999999,0.081800533,0.01013238,0.008000284,0.0
69,10,7,Dance,spring,male,K_POP,Group,0,0.48224852100000004,0.44230769200000003,0.6,0.866326391,0.0,0.551930308,0.770987695,0.0,0.0,0.0,0.0
70,5,2,Indi,spring,male,K_POP,Duet,0,0.695266272,0.961538462,0.66,0.310952774,0.818745559,0.513549813,0.8035937670000001,0.0,0.0,0.0,0.0
71,10,8,Ballad,spring,male,K_POP,Solo,0,0.701183432,0.16346153800000002,0.27,0.7419660309999999,0.0,0.660567269,0.127361065,0.0,0.0,0.0,0.0
72,10,6,Dance,spring,male,K_POP,Group,0,0.733727811,1.0,0.24,0.83146246,0.0,0.551930308,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0
73,4,2,Rap/Hiphop,spring,male,K_POP,Project,0,0.582840237,0.115384615,0.0,0.9097713829999999,0.819217904,0.477571876,0.876803517,0.0,0.0,0.0,0.0
74,10,10,Dance,spring,male,K_POP,Group,0,0.547337278,0.019230768999999998,0.95,0.46370753600000003,0.0,0.551930308,0.7296225129999999,0.0,0.0,0.0,0.0
75,2,5,Dance,spring,female,K_POP,Group,0,0.476331361,0.25,0.63,0.618937294,0.8443721479999999,0.551930308,0.529205473,0.0,0.0,0.0,0.0
76,10,5,Dance,spring,female,K_POP,Group,0,0.538461538,0.115384615,0.63,0.618937294,0.0,0.551930308,0.529205473,0.0,0.0,0.0,0.0
77,10,7,Ballad,spring,male,K_POP,Group,0,0.50591716,0.394230769,0.6,0.866326391,0.0,0.660567269,0.770987695,0.0,0.0,0.0,0.0
78,8,7,Dance,spring,male,K_POP,Group,0,0.576923077,0.173076923,0.6,0.866326391,0.787023494,0.551930308,0.770987695,0.0,0.0,0.0,0.0
79,10,9,Dance,spring,male,K_POP,Group,0,0.588757396,0.019230768999999998,0.78,0.9790692059999999,0.0,0.551930308,0.607429507,0.0,0.0,0.0,0.0
80,10,6,Dance,spring,male,K_POP,Group,0,0.5236686389999999,0.25,0.78,0.9790692059999999,0.0,0.551930308,0.607429507,0.0,0.0,0.0,0.0
81,10,9,R&B/Soul,spring,male,K_POP,Group,0,0.609467456,0.028846154,0.45,0.515597832,0.0,0.56680661,0.7589292329999999,0.0,0.0,0.0,0.0
82,10,8,Rap/Hiphop,spring,male,K_POP,Solo,0,0.46153846200000004,0.019230768999999998,0.0,0.9097713829999999,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0
83,6,3,Rap/Hiphop,spring,male,K_POP,Project,0,0.40828402399999997,0.067307692,0.0,0.9097713829999999,0.8051648109999999,0.477571876,0.876803517,0.0,0.0,0.0,0.0
84,2,4,Ballad,spring,male,K_POP,Solo,0,0.8313609470000001,0.528846154,0.66,0.48319743600000004,0.843476275,0.660567269,0.0,0.0,0.0,0.0,0.0
85,4,8,Dance,spring,female,K_POP,Group,0,0.48224852100000004,0.019230768999999998,0.27,0.6021119629999999,0.82061082,0.551930308,0.7296225129999999,0.081800533,0.01013238,0.008000284,0.0
86,10,7,Drama,spring,male,OST,Duet,0,0.74556213,0.057692308,0.66,0.310952774,0.0,0.613522263,0.79437199,0.0,0.0,0.0,0.0
87,3,6,Drama,spring,male,OST,Solo,0,0.526627219,0.057692308,0.05,0.07290649,0.827221355,0.613522263,0.876803517,0.0,0.0,0.0,0.0
88,10,10,Rap/Hiphop,spring,male,K_POP,Group,0,0.621301775,0.009615385,0.24,0.83146246,0.0,0.477571876,0.436587303,0.383592056,0.08690279699999999,0.025125001,0.0
89,10,7,All,spring,mixed,K_POP,Group,0,0.5739644970000001,0.028846154,0.37,0.65233852,0.0,0.403231913,0.876803517,0.0,0.0,0.0,0.0
90,10,4,Rap/Hiphop,spring,male,K_POP,Project,0,0.553254438,0.038461537999999997,0.37,0.65233852,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0
91,10,10,Indi,spring,female,K_POP,Solo,0,0.582840237,0.384615385,0.13,0.294895127,0.0,0.513549813,0.436587303,0.0,0.0,0.0,0.0
92,10,7,Indi,spring,female,K_POP,Solo,0,0.45857988200000005,0.086538462,0.13,0.294895127,0.0,0.513549813,0.436587303,0.0,0.0,0.0,0.0
93,10,nan,Rap/Hiphop,spring,male,K_POP,Solo,0,0.7781065090000001,0.0,0.32,0.513582199,0.0,0.477571876,0.265166517,0.0,0.0,0.0,0.0
94,10,10,Ballad,spring,female,K_POP,Solo,0,0.568047337,0.182692308,0.49,0.442289713,0.0,0.660567269,0.542008804,0.0,0.0,0.0,0.0
95,8,nan,Dance,spring,male,K_POP,Solo,0,0.529585799,0.019230768999999998,0.07,0.189695748,0.782598444,0.551930308,0.127361065,0.0,0.0,0.0,0.0
96,10,5,Rap/Hiphop,spring,male,K_POP,Solo,0,0.541420118,0.038461537999999997,0.67,0.714138852,0.0,0.477571876,0.876803517,0.0,0.0,0.0,0.0
97,10,10,R&B/Soul,spring,male,K_POP,Solo,0,0.627218935,0.9807692309999999,0.14,0.330664453,0.0,0.56680661,0.373287456,0.0,0.0,0.0,0.0
98,10,6,R&B/Soul,spring,female,K_POP,Solo,0,0.627218935,0.038461537999999997,0.26,0.35302231700000003,0.0,0.56680661,0.7426706790000001,0.0,0.0,0.0,0.0
99,10,nan,Ballad,spring,male,K_POP,Solo,0,0.689349112,0.0,0.91,0.978596107,0.0,0.660567269,0.860687584,0.131758517,0.017921882,0.012750533,0.0
100,8,10,Indi,spring,male,K_POP,Solo,1,0.50887574,0.240384615,0.32,0.485514881,0.7931782409999999,0.513549813,0.7740525140000001,0.0,0.0,0.0,0.0
101,2,7,Dance,spring,female,K_POP,Group,1,0.553254438,0.317307692,0.07,0.5115476379999999,0.8473496640000001,0.551930308,0.680335997,0.0,0.0,0.0,0.0
102,6,3,Pop,spring,female,POP,Solo,1,0.565088757,0.8557692309999999,0.33,0.871045541,0.812555383,0.529332838,0.0,0.0,0.0,0.0,0.0
103,10,8,Pop,spring,female,POP,Solo,1,0.40828402399999997,0.038461537999999997,0.41,0.85781218,0.0,0.529332838,0.81946166,0.0,0.0,0.0,0.0
104,9,4,R&B/Soul,spring,male,K_POP,Solo,1,0.680473373,0.25,0.48,0.8041241929999999,0.787866892,0.56680661,0.0,0.0,0.0,0.0,0.0
105,10,4,Pop,spring,male,POP,Solo,1,0.615384615,1.0,0.51,0.867120088,0.0,0.529332838,0.0,0.0,0.0,0.0,0.0
106,7,4,Dance,spring,male,K_POP,Group,1,0.514792899,0.125,0.0,0.421637992,0.7973179029999999,0.551930308,0.739838233,0.0,0.0,0.0,0.0
107,10,9,Ballad,spring,male,K_POP,Group,1,0.704142012,0.259615385,0.19,0.5310814939999999,0.0,0.660567269,0.739838233,0.216301565,0.034672127999999997,0.010216486,0.0
108,4,3,Pop,spring,mixed,POP,Band,1,0.49408284,0.740384615,0.0,0.904168723,0.8293444790000001,0.529332838,0.688617734,0.0,0.0,0.0,0.0
109,10,1,Rap/Hiphop,spring,male,K_POP,Group,1,0.5443786979999999,0.615384615,0.25,0.586777786,0.0,0.477571876,0.680335997,0.5183996989999999,0.158237303,0.023043165,0.0
110,8,7,Rock,spring,male,POP,Group,1,0.476331361,0.673076923,0.21,0.595276094,0.793430669,0.5092992129999999,0.693085501,0.0,0.0,0.0,0.0
