,rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,title_song,week,artist,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view,rank_g_pred
88,10,10,10,Dance,winter,female,K_POP,Group,1,2019.1.20,(여자)아이들,0.5325443786982249,0.240384615384615,0.17,0.22309697296612802,0.0,0.696853546999652,0.283488332509601,0.0,0.0,0.0,0.0,10
89,3,10,3,Dance,fall,female,K_POP,Group,1,2018.10.7,(여자)아이들,0.5325443786982249,0.240384615384615,0.35,0.48780780271960295,0.0,0.503168297512131,0.29489512747699603,0.0,0.0,0.0,0.0,3
90,2,10,2,Dance,fall,female,K_POP,Group,1,2018.9.16,(여자)아이들,0.5325443786982249,0.240384615384615,0.58,0.5402254271594029,0.0,0.503168297512131,0.37328745618981607,0.0,0.0,0.0,0.0,2
91,10,10,8,Dance,fall,female,K_POP,Group,1,2018.11.18,(여자)아이들,0.5325443786982249,0.240384615384615,0.43,0.37328745618981607,0.0,0.503168297512131,0.289266783361501,0.0,0.0,0.0,0.0,9
92,2,10,10,Dance,summer,female,K_POP,Group,1,2018.8.12,(여자)아이들,0.5325443786982249,0.240384615384615,0.8,1.0,0.0,0.394525288674247,0.501078014194522,0.0,0.0,0.0,0.0,10
93,10,10,10,Dance,winter,female,K_POP,Group,1,2019.2.17,(여자)아이들,0.5325443786982249,0.240384615384615,0.23,0.283488332509601,0.0,0.696853546999652,0.30038096644737605,0.0,0.0,0.0,0.0,10
94,5,10,3,Dance,fall,female,K_POP,Group,1,2018.10.14,(여자)아이들,0.5325443786982249,0.240384615384615,0.21,0.494544482066671,0.0,0.503168297512131,0.570275213947825,0.0,0.0,0.0,0.0,3
95,10,10,10,Dance,spring,female,K_POP,Group,0,2019.3.10,(여자)아이들,0.5325443786982249,0.240384615384615,0.53,0.344353998842983,0.0,0.551930308223071,0.33066445349070395,0.0,0.0,0.0,0.0,10
96,2,10,1,Dance,fall,female,K_POP,Group,1,2018.9.9,(여자)아이들,0.5325443786982249,0.240384615384615,0.53,0.7250924722237891,0.0,0.503168297512131,1.0,0.0,0.0,0.0,0.0,1
97,10,10,10,Dance,winter,female,K_POP,Group,1,2019.1.6,(여자)아이들,0.5325443786982249,0.240384615384615,0.17,0.23804628387473498,0.0,0.696853546999652,0.22309697296612802,0.0,0.0,0.0,0.0,10
98,10,10,10,Dance,spring,female,K_POP,Group,0,2019.3.3,(여자)아이들,0.5325443786982249,0.240384615384615,0.21,0.3530223173555139,0.0,0.551930308223071,0.271447509100542,0.0,0.0,0.0,0.0,10
99,3,10,2,Dance,fall,female,K_POP,Group,1,2018.9.30,(여자)아이들,0.5325443786982249,0.240384615384615,0.46,0.49232211319683,0.0,0.503168297512131,0.283488332509601,0.0,0.0,0.0,0.0,2
100,1,10,1,Dance,summer,female,K_POP,Group,1,2018.8.26,(여자)아이들,0.5325443786982249,0.240384615384615,0.62,0.7563027883352141,0.0,0.394525288674247,0.31095277361717605,0.0,0.0,0.0,0.0,1
101,7,10,6,Dance,fall,female,K_POP,Group,1,2018.11.4,(여자)아이들,0.5325443786982249,0.240384615384615,0.75,0.645837660114665,0.0,0.503168297512131,0.271447509100542,0.0,0.0,0.0,0.0,6
102,10,10,10,Dance,winter,female,K_POP,Group,1,2019.1.27,(여자)아이들,0.5325443786982249,0.240384615384615,0.21,0.19854101935810198,0.0,0.696853546999652,0.277551548391368,0.0,0.0,0.0,0.0,10
103,2,10,2,Dance,fall,female,K_POP,Group,1,2018.9.23,(여자)아이들,0.5325443786982249,0.240384615384615,0.25,0.593882654618329,0.0,0.503168297512131,0.30573133866415003,0.0,0.0,0.0,0.0,2
104,1,10,1,Dance,fall,female,K_POP,Group,1,2018.9.2,(여자)아이들,0.5325443786982249,0.240384615384615,0.66,0.7009024276225101,0.0,0.503168297512131,0.289266783361501,0.0,0.0,0.0,0.0,1
105,10,10,10,Dance,winter,female,K_POP,Group,0,2019.2.24,(여자)아이들,0.5325443786982249,0.240384615384615,1.0,0.507420293273324,0.0,0.696853546999652,0.321032687124339,0.0,0.0,0.0,0.0,10
106,8,10,7,Dance,fall,female,K_POP,Group,1,2018.11.11,(여자)아이들,0.5325443786982249,0.240384615384615,0.37,0.471223170348026,0.0,0.503168297512131,0.33066445349070395,0.0,0.0,0.0,0.0,7
107,10,10,10,Dance,winter,female,K_POP,Group,1,2019.1.13,(여자)아이들,0.5325443786982249,0.240384615384615,0.14,0.189695747740321,0.0,0.696853546999652,0.321032687124339,0.0,0.0,0.0,0.0,10
108,1,10,2,Dance,summer,female,K_POP,Group,1,2018.8.19,(여자)아이들,0.5325443786982249,0.240384615384615,0.88,0.908466083961025,0.0,0.394525288674247,0.365407349042416,0.0,0.0,0.0,0.0,2
109,5,10,5,Dance,fall,female,K_POP,Group,1,2018.10.21,(여자)아이들,0.5325443786982249,0.240384615384615,0.27,0.408888487775386,0.0,0.503168297512131,0.23804628387473498,0.0,0.0,0.0,0.0,5
110,7,7,6,Drama,fall,male,OST,Solo,0,2018.10.7,10cm,0.624260355029586,0.0384615384615385,0.44,0.4637075360625689,0.7873060817760341,0.374420603619436,0.7549775299816959,0.0,0.0,0.0,0.0,7
111,9,9,8,Drama,fall,male,OST,Solo,0,2018.10.21,10cm,0.624260355029586,0.0384615384615385,0.46,0.40558034618405,0.7819802767316751,0.374420603619436,0.774660309679745,0.0,0.0,0.0,0.0,9
112,6,9,4,Drama,fall,male,OST,Solo,0,2018.9.30,10cm,0.624260355029586,0.0384615384615385,0.41,0.4559218218878379,0.7760758961779342,0.374420603619436,0.7227914339759891,0.0,0.0,0.0,0.0,5
113,8,7,7,Drama,fall,male,OST,Solo,0,2018.10.14,10cm,0.624260355029586,0.0384615384615385,0.62,0.39880857426822297,0.796609891253585,0.374420603619436,0.7482268573467981,0.0,0.0,0.0,0.0,8
114,4,8,10,Drama,fall,male,OST,Solo,0,2018.9.23,10cm,0.624260355029586,0.0384615384615385,1.0,0.476092567749471,0.7864538744890921,0.374420603619436,0.7250924722237891,0.0,0.0,0.0,0.0,10
115,10,10,10,Indi,spring,male,K_POP,Solo,0,2019.3.3,10cm,0.5355029585798821,0.0,0.37,0.5135821985186501,0.0,0.5135498129837159,0.714138851624206,0.0,0.0,0.0,0.0,10
116,4,10,3,Indi,spring,male,K_POP,Solo,1,2019.4.7,10cm,0.606508875739645,0.19230769230769199,0.3,0.4247115057764129,0.0,0.5135498129837159,0.765359351110972,0.0,0.0,0.0,0.0,3
117,7,10,7,Indi,spring,male,K_POP,Solo,1,2019.5.5,10cm,0.606508875739645,0.19230769230769199,0.18,0.46114325684086405,0.0,0.5135498129837159,0.802529002892143,0.0,0.0,0.0,0.0,7
118,9,10,9,Indi,spring,male,K_POP,Solo,1,2019.5.26,10cm,0.606508875739645,0.19230769230769199,0.49,0.39534163526022703,0.0,0.5135498129837159,0.811928604803279,0.0,0.0,0.0,0.0,10
119,3,10,2,Indi,spring,male,K_POP,Solo,1,2019.3.24,10cm,0.606508875739645,0.19230769230769199,0.54,0.42163799232423,0.0,0.5135498129837159,0.75297431942407,0.0,0.0,0.0,0.0,2
