rank_g,you_rank_g,previous_ranking,genre,season,sex,song_type,active_type,runtime,top_freq,gg_score,nv_score,total_view,season_genre_score,pd_score,dc_total_numb,dc_mean_reccomend,dc_mean_views,drama_view
9,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.19,0.282,0,0.6968535468484371,0.11900000000000001,0,0,0,0
8,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.15,0.42200000000000004,0,0.6968535468484371,0.065,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.31,0.5489999999999999,0,0.39452528860234637,0.051,0,0,0,0
7,10,7,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.23,0.535,0,0.6968535468484371,0.748,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.48,0.379,0,0.39452528860234637,0.09,0,0,0,0
9,10,9,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.31,0.44,0,0.6968535468484371,0.214,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.17,0.32,0,0.5031682970704731,0.094,0,0,0,0
9,10,9,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.74,0.484,0,0.5519303086234274,0.138,0,0,0,0
9,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.58,0.574,0,0.6968535468484371,0.071,0,0,0,0
9,10,9,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.18,0.21600000000000003,0,0.6968535468484371,0.122,0,0,0,0
10,10,10,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.23,0.28800000000000003,0,0.5031682970704731,0.11599999999999999,0,0,0,0
10,10,10,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.24,0.146,0,0.5519303086234274,0.16899999999999998,0,0,0,0
8,10,7,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.31,0.395,0,0.39452528860234637,0.17600000000000002,0,0,0,0
7,10,7,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.25,0.62,0,0.6968535468484371,0.113,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.32,0.478,0,0.39452528860234637,0.061,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.24,0.39799999999999996,0,0.39452528860234637,0.077,0,0,0,0
9,10,9,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.88,0.539,0,0.5519303086234274,0.201,0,0,0,0
7,10,7,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.6,0.535,0,0.5519303086234274,0.109,0,0,0,0
9,10,8,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.19,0.37799999999999995,0,0.5031682970704731,0.085,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.24,0.314,0,0.5031682970704731,0.591,0,0,0,0
10,10,10,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.1,0.184,0,0.5519303086234274,0.18600000000000003,0,0,0,0
6,10,7,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.6,0.562,0,0.39452528860234637,0.156,0,0,0,0
5,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.39,0.5,0,0.39452528860234637,0.276,0,0,0,0
10,10,10,댄스,spring,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.2,0.159,0,0.5519303086234274,0.154,0,0,0,0
10,10,10,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.26,0.501,0,0.5031682970704731,0.064,0,0,0,0
8,10,8,댄스,winter,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.15,0.415,0,0.6968535468484371,0.26899999999999996,0,0,0,0
8,10,8,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.29,0.349,0,0.5031682970704731,0.146,0,0,0,0
8,10,10,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.59,0.847,0,0.5031682970704731,0.314,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.18,0.289,0,0.5031682970704731,0.08,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.15,0.434,0,0.39452528860234637,0.215,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.46,0.431,0,0.39452528860234637,0.064,0,0,0,0
6,10,5,댄스,summer,male,K_POP,Group,0.4822485207100592,0.4423076923076923,0.42,0.39899999999999997,0,0.39452528860234637,0.129,0,0,0,0
9,10,8,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.46,0.431,0,0.4759599894975685,0.243,0,0,0,0
6,10,5,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.39,0.5,0,0.4759599894975685,0.214,0,0,0,0
8,10,8,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.32,0.478,0,0.4759599894975685,0.172,0,0,0,0
10,10,9,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.48,0.379,0,0.4759599894975685,0.253,0,0,0,0
2,10,10,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,1,0.88,0,0.4759599894975685,0.184,0,0,0,0
5,10,2,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.6,0.562,0,0.4759599894975685,0.27399999999999997,0,0,0,0
8,10,6,발라드,summer,male,K_POP,Group,0.7189349112426036,0.057692307692307696,0.42,0.39899999999999997,0,0.4759599894975685,0.33,0,0,0,0
10,10,8,댄스,winter,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.51,1,0,0.6968535468484371,0.028999999999999998,0,0,0,0
8,10,6,댄스,winter,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.23,0.535,0,0.6968535468484371,0.07,0,0,0,0
6,10,6,댄스,winter,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.25,0.62,0,0.6968535468484371,0.071,0,0,0,0
6,10,2,댄스,fall,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.27,0.7609999999999999,0,0.5031682970704731,0.091,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.15,0.42200000000000004,0,0.6968535468484371,0.07400000000000001,0,0,0,0
2,10,10,댄스,fall,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.59,0.847,0,0.5031682970704731,0.046,0,0,0,0
10,10,10,댄스,winter,male,K_POP,Group,0.6035502958579881,0.057692307692307696,0.15,0.415,0,0.6968535468484371,0.035,0,0,0,0
9,10,8,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.31,0.395,0,0.39452528860234637,0.253,0,0,0,0
2,4,2,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.42,0.39899999999999997,0.029698857736240914,0.39452528860234637,0.141,0,0,0,0
2,4,2,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.39,0.5,0.03208722741433022,0.39452528860234637,0.27399999999999997,0,0,0,0
5,8,4,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.48,0.379,0.01921079958463136,0.39452528860234637,0.08800000000000001,0,0,0,0
7,10,6,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.24,0.39799999999999996,0,0.39452528860234637,0.243,0,0,0,0
10,10,9,댄스,fall,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.19,0.37799999999999995,0,0.5031682970704731,0.09699999999999999,0,0,0,0
9,10,9,댄스,fall,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.29,0.349,0,0.5031682970704731,0.33,0,0,0,0
5,9,5,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.15,0.434,0.014641744548286604,0.39452528860234637,0.10400000000000001,0,0,0,0
6,10,6,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.31,0.5489999999999999,0,0.39452528860234637,0.121,0,0,0,0
2,4,1,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.6,0.562,0.04205607476635514,0.39452528860234637,0.172,0,0,0,0
4,6,2,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.32,0.478,0.02564901349948079,0.39452528860234637,0.11699999999999999,0,0,0,0
1,4,10,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,1,0.88,0.03551401869158879,0.39452528860234637,0.214,0,0,0,0
6,10,5,댄스,summer,male,K_POP,Group,0.5828402366863905,0.1346153846153846,0.31,0.47700000000000004,0,0.39452528860234637,0.185,0,0,0,0
