,name,production,distributor,artist,time,score,rank,name_artist,장르,런타임,성별,활동유형
3795,폰서트,매직스트로베리사운드,카카오 M,10cm,2018.12.30~2019.01.05,3287778,196,"10cm,폰서트",가요 / 인디,03:18,남성,솔로
3796,Someone Like You,XL Recordings,강앤뮤직,Adele,2018.12.30~2019.01.05,3263489,197,"Adele,Someone Like You",POP / R&B/소울,04:46,여성,솔로
3797,죽겠다 ,YG Entertainment,지니뮤직,iKON,2018.12.30~2019.01.05,3259248,198,"iKON,죽겠다 ",가요 / 댄스,03:14,남성,그룹
3798,FRIENDS,Atlantic Records UK,Warner Music,Marshmello & Anne-Marie,2018.12.30~2019.01.05,3252151,199,"Marshmello & Anne-Marie,FRIENDS",POP / 팝,03:23,혼성,프로젝트
3799,LATATA,큐브엔터테인먼트,카카오 M,(여자)아이들,2018.12.30~2019.01.05,3207794,200,"(여자)아이들,LATATA",가요 / 댄스,03:23,여성,그룹
3800,넘쳐흘러,325 이엔씨,카카오 M,엠씨더맥스 ,2019.01.06~2019.01.12,56921165,1,"엠씨더맥스 ,넘쳐흘러",가요 / 발라드,04:07,남성,밴드
3801,벌써 12시,MNH Entertainment,"지니뮤직, Stone Music Entertainment",청하,2019.01.06~2019.01.12,48007021,2,"청하,벌써 12시",가요 / 댄스,03:42,여성,솔로
3802,180도,메이저나인,지니뮤직,벤 ,2019.01.06~2019.01.12,40857376,3,"벤 ,180도",가요 / 발라드,03:49,여성,솔로
3803,SOLO,YG Entertainment,지니뮤직,제니 ,2019.01.06~2019.01.12,36419341,4,"제니 ,SOLO",가요 / 랩/힙합,02:50,여성,솔로
3804,신용재,인디안레이블,지니뮤직,하은 ,2019.01.06~2019.01.12,34761081,5,"하은 ,신용재",가요 / 발라드,03:34,남성,솔로
3805,아낙네,YG Entertainment,지니뮤직,송민호,2019.01.06~2019.01.12,30930586,6,"송민호,아낙네",가요 / 랩/힙합,03:28,남성,솔로
3806,MILLIONS,YG Entertainment,지니뮤직,WINNER,2019.01.06~2019.01.12,30522396,7,"WINNER,MILLIONS",가요 / 댄스,03:28,남성,그룹
3807,너를 만나,뉴런뮤직,카카오 M,폴킴,2019.01.06~2019.01.12,29219882,8,"폴킴,너를 만나",가요 / 발라드,04:41,남성,솔로
3808,YES or YES,JYP Entertainment,Dreamus,TWICE,2019.01.06~2019.01.12,25439661,9,"TWICE,YES or YES",가요 / 댄스,03:58,여성,그룹
3809,"모든 날, 모든 순간 ",SM Entertainment,Dreamus,폴킴,2019.01.06~2019.01.12,25390090,10,"폴킴,모든 날, 모든 순간 ",OST / 드라마,03:31,남성,솔로
3810,첫눈에,"Stone Music Entertainment, Studio blu",Stone Music Entertainment,헤이즈 ,2019.01.06~2019.01.12,22745570,11,"헤이즈 ,첫눈에",가요 / R&B/소울,03:26,여성,솔로
3811,내 생에 아름다운,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,케이윌 ,2019.01.06~2019.01.12,22630884,12,"케이윌 ,내 생에 아름다운",OST / 드라마,04:01,남성,솔로
3812,Love Shot,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,20477656,13,"EXO,Love Shot",가요 / 댄스,03:20,남성,그룹
3813,가을 타나 봐,메이저나인,지니뮤직,바이브 ,2019.01.06~2019.01.12,20113591,14,"바이브 ,가을 타나 봐",가요 / 발라드,03:52,남성,그룹
3814,삐삐,카카오 M,카카오 M,아이유 ,2019.01.06~2019.01.12,19975336,15,"아이유 ,삐삐",가요 / R&B/소울,03:15,여성,솔로
3815,습관 ,디씨톰엔터테인먼트,Warner Music,숀 ,2019.01.06~2019.01.12,19526013,16,"숀 ,습관 ",가요 / 일렉트로니카,03:33,남성,솔로
3816,%%,플레이엠엔터테인먼트,카카오 M,에이핑크 ,2019.01.06~2019.01.12,18903981,17,"에이핑크 ,%%",OST / 드라마,03:59,여성,솔로
3817,"thank u, next","Republic Records, a division of UMG Recordings,Inc",Universal Music,Ariana Grande,2019.01.06~2019.01.12,18246686,18,"Ariana Grande,thank u, next",POP / 팝,03:27,여성,솔로
3818,고백,브랜뉴뮤직,카카오 M,양다일,2019.01.06~2019.01.12,17954219,19,"양다일,고백",가요 / 발라드,03:31,남성,솔로
3819,Way Back Home,디씨톰엔터테인먼트,Warner Music,숀 ,2019.01.06~2019.01.12,17827387,20,"숀 ,Way Back Home",가요 / 일렉트로니카,03:34,남성,솔로
3820,흔한 이별,플레이엠엔터테인먼트,카카오 M,허각,2019.01.06~2019.01.12,17514449,21,"허각,흔한 이별",가요 / 발라드,04:12,남성,솔로
3821,열애중,메이저나인,지니뮤직,벤 ,2019.01.06~2019.01.12,17087132,22,"벤 ,열애중",가요 / 발라드,04:31,여성,솔로
3822,너도 그냥 날 놓아주면 돼,센토엔터테인먼트,지니뮤직,윤건,2019.01.06~2019.01.12,16902892,23,"윤건,너도 그냥 날 놓아주면 돼",가요 / 발라드,04:09,남성,솔로
3823,하루도 그대를 사랑하지 않은 적이 없었다,NH EMG,인터파크,임창정,2019.01.06~2019.01.12,16338907,24,"임창정,하루도 그대를 사랑하지 않은 적이 없었다",가요 / 발라드,04:03,남성,솔로
3824,아름답고도 아프구나,큐브엔터테인먼트,카카오 M,비투비 ,2019.01.06~2019.01.12,16108100,25,"비투비 ,아름답고도 아프구나",가요 / 발라드,04:00,남성,그룹
3825,사계 ,325 이엔씨,카카오 M,엠씨더맥스 ,2019.01.06~2019.01.12,15818370,26,"엠씨더맥스 ,사계 ",가요 / 발라드,04:17,남성,밴드
3826,IDOL,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,15759744,27,"방탄소년단,IDOL",가요 / 랩/힙합,03:43,남성,그룹
3827,Tempo,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,15311865,28,"EXO,Tempo",가요 / 댄스,03:45,남성,그룹
3828,이별하러 가는 길,모스트웍스,카카오 M,임한별,2019.01.06~2019.01.12,14869566,29,"임한별,이별하러 가는 길",가요 / 발라드,05:07,남성,솔로
3829,Good Day ,Stone Music Entertainment,지니뮤직,"pH-1, Kid Milli, 루피",2019.01.06~2019.01.12,13773402,30,"pH-1, Kid Milli, 루피 ,Good Day",가요 / 랩/힙합,04:27,남성,프로젝트
3830,I`M OK,YG Entertainment,YG PLUS,iKON,2019.01.06~2019.01.12,12803806,31,"iKON,I`M OK",가요 / 발라드,03:37,남성,그룹
3831,지나오다,닐로 컴퍼니,퍼플파인 엔터테인먼트,닐로 ,2019.01.06~2019.01.12,12769083,32,"닐로 ,지나오다",가요 / 발라드,04:41,남성,솔로
3832,뚜두뚜두 ,YG Entertainment,지니뮤직,BLACKPINK,2019.01.06~2019.01.12,12633224,33,"BLACKPINK,뚜두뚜두 ",가요 / 댄스,03:29,여성,그룹
3833,라비앙로즈 ,"Stone Music Entertainment, OFF THE RECORD Entertainment",지니뮤직,IZ*ONE ,2019.01.06~2019.01.12,12166179,34,"IZ*ONE ,라비앙로즈 ",가요 / 댄스,03:39,여성,그룹
3834,사이렌 ,메이크어스엔터테인먼트,카카오 M,선미,2019.01.06~2019.01.12,11703009,35,"선미,사이렌 ",가요 / 댄스,03:19,여성,솔로
3835,밤편지,"페이브엔터테인먼트,카카오 M",카카오 M,아이유 ,2019.01.06~2019.01.12,11629231,36,"아이유 ,밤편지",가요 / 발라드,04:13,여성,솔로
3836,Snowman,"Monkey Puzzle, Atlantic",Warner Music,Sia,2019.01.06~2019.01.12,11464710,37,"Sia,Snowman",POP / 팝,02:46,여성,솔로
3837,Dance The Night Away,JYP Entertainment,Dreamus,TWICE,2019.01.06~2019.01.12,11421994,38,"TWICE,Dance The Night Away",가요 / 댄스,03:01,여성,그룹
3838,우리 그만하자,Stone Music Entertainment,Stone Music Entertainment,로이킴,2019.01.06~2019.01.12,11325600,39,"로이킴,우리 그만하자",가요 / 발라드,04:18,남성,솔로
3839,Wind flower,RBW,카카오 M,마마무 ,2019.01.06~2019.01.12,11217254,40,"마마무 ,Wind flower",가요 / R&B/소울,03:57,여성,그룹
3840,봄바람,"SWING Entertainment, Stone Music Entertainment",지니뮤직,Wanna One ,2019.01.06~2019.01.12,11189980,41,"Wanna One ,봄바람",가요 / 댄스,03:56,남성,그룹
3841,미안해,브랜뉴뮤직,카카오 M,양다일,2019.01.06~2019.01.12,11109907,42,"양다일,미안해",가요 / R&B/소울,03:49,남성,솔로
3842,너는 어땠을까,씨제스엔터테인먼트,카카오 M,노을,2019.01.06~2019.01.12,11097085,43,"노을,너는 어땠을까",가요 / 발라드,04:22,남성,그룹
3843,비,뉴런뮤직,NHN벅스,폴킴,2019.01.06~2019.01.12,10871545,44,"폴킴,비",가요 / R&B/소울,03:58,남성,솔로
3844,IndiGO,인디고뮤직,카카오 M,저스디스 ,2019.01.06~2019.01.12,10823919,45,"저스디스 ,IndiGO",가요 / 랩/힙합,04:01,남성,프로젝트
3845,헤어지는 중,냠냠엔터테인먼트,카카오 M,펀치 ,2019.01.06~2019.01.12,10819743,46,"펀치 ,헤어지는 중",가요 / R&B/소울,03:43,여성,솔로
3846,동화 ,뮤직팜,카카오 M,김동률,2019.01.06~2019.01.12,10658927,47,"김동률,동화 ",가요 / 발라드,04:14,남성,솔로
3847,시간이 들겠지 ,AOMG,카카오 M,로꼬 ,2019.01.06~2019.01.12,10652729,48,"로꼬 ,시간이 들겠지 ",가요 / 랩/힙합,03:52,남성,솔로
3848,알았다면,리메즈,카카오 M,장덕철,2019.01.06~2019.01.12,10639581,49,"장덕철,알았다면",가요 / 발라드,04:03,남성,그룹
3849,FAKE LOVE,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,10417871,50,"방탄소년단,FAKE LOVE",가요 / 랩/힙합,04:02,남성,그룹
3850,그때 헤어지면 돼,"Stone Music Entertainment, MMO Entertainment",Stone Music Entertainment,로이킴,2019.01.06~2019.01.12,10030952,51,"로이킴,그때 헤어지면 돼",가요 / 발라드,04:09,남성,솔로
3851,가을 안부,먼데이키즈 컴퍼니,지니뮤직,먼데이 키즈 ,2019.01.06~2019.01.12,9851948,52,"먼데이 키즈 ,가을 안부",가요 / 발라드,05:03,남성,솔로
3852,I`m Here,Stone Music Entertainment,Stone Music Entertainment,양다일,2019.01.06~2019.01.12,9760261,53,"양다일,I`m Here",OST / 드라마,03:49,남성,솔로
3853,봄날,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,9531340,54,"방탄소년단,봄날",가요 / 댄스,04:34,남성,그룹
3854,멋지게 인사하는 법 ,The Black Label,지니뮤직,자이언티,2019.01.06~2019.01.12,9500972,55,"자이언티,멋지게 인사하는 법 ",가요 / 발라드,03:22,남성,솔로
3855,꿈처럼 내린,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,다비치,2019.01.06~2019.01.12,9423523,56,"다비치,꿈처럼 내린",OST / 드라마,03:46,여성,듀엣
3856,사랑은 다 이러니,뮤직K,카카오 M,홍진영,2019.01.06~2019.01.12,9322493,57,"홍진영,사랑은 다 이러니",가요 / 발라드,03:07,여성,솔로
3857,행복,로맨틱팩토리,Warner Music,오반 ,2019.01.06~2019.01.12,9246824,58,"오반 ,행복",가요 / 인디,04:07,남성,솔로
3858,flex ,"인디고뮤직, 딩고뮤직",카카오 M,"기리보이, Kid Milli, NO:EL, 스윙스 ",2019.01.06~2019.01.12,9075787,59,"기리보이, Kid Milli, NO:EL, 스윙스 ,flex ",가요 / 랩/힙합,03:46,남성,프로젝트
3859,RBB ,SM Entertainment,Dreamus,레드벨벳,2019.01.06~2019.01.12,9036454,60,"레드벨벳,RBB ",가요 / 댄스,03:09,여성,그룹
3860,사랑을 했다 ,YG Entertainment,지니뮤직,iKON,2019.01.06~2019.01.12,8888663,61,"iKON,사랑을 했다 ",가요 / 랩/힙합,03:30,남성,그룹
3861,너 없인 안 된다,큐브엔터테인먼트,카카오 M,비투비 ,2019.01.06~2019.01.12,8819402,62,"비투비 ,너 없인 안 된다",가요 / 발라드,03:47,남성,그룹
3862,그 남자를 떠나,"iHQ, god",카카오 M,god,2019.01.06~2019.01.12,8761927,63,"god,그 남자를 떠나",가요 / 댄스,03:24,남성,그룹
3863,길 ,"iHQ, god",카카오 M,god,2019.01.06~2019.01.12,8678266,64,"god,길 ",가요 / 발라드,04:29,남성,그룹
3864,시간을 견디면,325 이엔씨,카카오 M,엠씨더맥스 ,2019.01.06~2019.01.12,8648331,65,"엠씨더맥스 ,시간을 견디면",가요 / 발라드,04:24,남성,밴드
3865,이별길 ,YG Entertainment,지니뮤직,iKON,2019.01.06~2019.01.12,8641660,66,"iKON,이별길 ",가요 / 발라드,03:59,남성,그룹
3866,Bohemian Rhapsody ,Universal Music,Universal Music,Queen,2019.01.06~2019.01.12,8555698,67,"Queen,Bohemian Rhapsody ",OST / 해외영화,05:55,남성,밴드
3867,첫눈처럼 너에게 가겠다,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,에일리 ,2019.01.06~2019.01.12,8446538,68,"에일리 ,첫눈처럼 너에게 가겠다",OST / 드라마,03:50,여성,솔로
3868,We all lie,JTBC콘텐트허브,Warner Music,하진,2019.01.06~2019.01.12,8413608,69,"하진,We all lie",OST / 드라마,03:16,여성,솔로
3869,여행,쇼파르뮤직,카카오 M,볼빨간사춘기,2019.01.06~2019.01.12,8394712,70,"볼빨간사춘기,여행",가요 / 인디,03:41,여성,솔로
3870,DNA,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,8291325,71,"방탄소년단,DNA",가요 / 랩/힙합,03:43,남성,그룹
3871,그리워하다,큐브엔터테인먼트,카카오 M,비투비 ,2019.01.06~2019.01.12,8176864,72,"비투비 ,그리워하다",가요 / 발라드,03:57,남성,그룹
3872,사랑 알 수 없나봐,"쇼파르뮤직, 이들미디어",NHN벅스,폴킴,2019.01.06~2019.01.12,7899510,73,"폴킴,사랑 알 수 없나봐",OST / 드라마,04:17,남성,솔로
3873,선물,"민트페이퍼, 광합성",카카오 M,멜로망스,2019.01.06~2019.01.12,7876240,74,"멜로망스,선물",가요 / 인디,04:21,남성,듀엣
3874,그날처럼,리메즈,카카오 M,장덕철,2019.01.06~2019.01.12,7643861,75,"장덕철,그날처럼",가요 / 발라드,03:53,남성,그룹
3875,수퍼비와 ,Stone Music Entertainment,Stone Music Entertainment,SUPERBEE,2019.01.06~2019.01.12,7311454,76,"SUPERBEE,수퍼비와 ",가요 / 랩/힙합,04:31,남성,솔로
3876,Santa Tell Me,"Republic Records, a division of UMG Recordings,Inc",Universal Music,Ariana Grande,2019.01.06~2019.01.12,7292335,77,"Ariana Grande,Santa Tell Me",POP / 팝,03:24,여성,솔로
3877,I`m Fine,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,7289483,78,"방탄소년단,I`m Fine",가요 / 랩/힙합,04:00,남성,그룹
3878,에너제틱 ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2019.01.06~2019.01.12,6922413,79,"Wanna One ,에너제틱 ",가요 / 댄스,03:09,남성,그룹
3879,알러뷰,바나나컬쳐,Sony Music,EXID,2019.01.06~2019.01.12,6572776,80,"EXID,알러뷰",가요 / 댄스,03:15,여성,그룹
3880,HandClap,Elektra,Warner Music,Fitz & The Tantrums,2019.01.06~2019.01.12,6556089,81,"Fitz & The Tantrums,HandClap",POP / 팝,03:13,혼성,밴드
3881,Shape of You,Atlantic Records UK,Warner Music,Ed Sheeran,2019.01.06~2019.01.12,6457636,82,"Ed Sheeran,Shape of You",POP / 팝,03:54,남성,솔로
3882,Bohemian Rhapsody,"Virgin EMI Records, a division of Universal",Universal Music,Queen,2019.01.06~2019.01.12,6446047,83,"Queen,Bohemian Rhapsody",OST / 해외영화,05:55,남성,밴드
3883,Euphoria,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,6426371,84,"방탄소년단,Euphoria",가요 / 랩/힙합,03:49,남성,그룹
3884,Forever Young,YG Entertainment,지니뮤직,BLACKPINK,2019.01.06~2019.01.12,6364663,85,"BLACKPINK,Forever Young",가요 / 댄스,03:57,여성,그룹
3885,잘 지내요,씨그널엔터테인먼트그룹,지니뮤직,정승환,2019.01.06~2019.01.12,6335235,86,"정승환,잘 지내요",OST / 드라마,03:48,남성,솔로
3886,Beautiful,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2019.01.06~2019.01.12,6264685,87,"Wanna One ,Beautiful",가요 / 발라드,03:17,남성,그룹
3887,트라우마 ,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,6202660,88,"EXO,트라우마 ",가요 / 댄스,03:42,남성,그룹
3888,Havana ,Syco Music/Epic,Sony Music,Camila Cabello,2019.01.06~2019.01.12,6115073,89,"Camila Cabello,Havana ",POP / 팝,03:37,여성,솔로
3889,Goodbye,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,웬디,2019.01.06~2019.01.12,6051958,90,"웬디,Goodbye",OST / 드라마,03:14,여성,솔로
3890,너나 해 ,RBW,카카오 M,마마무 ,2019.01.06~2019.01.12,6026174,91,"마마무 ,너나 해 ",가요 / 댄스,03:16,여성,그룹
3891,전하지 못한 진심 ,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,5994963,92,"방탄소년단,전하지 못한 진심 ",가요 / 발라드,04:02,남성,그룹
3892,You,JTBC,인터파크,멜로망스,2019.01.06~2019.01.12,5916458,93,"멜로망스,You",가요 / 발라드,04:32,남성,듀엣
3893,Roller Coaster,MNH Entertainment,Stone Music Entertainment,청하,2019.01.06~2019.01.12,5887786,94,"청하,Roller Coaster",가요 / 댄스,03:33,여성,솔로
3894,Wait,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,5856942,95,"EXO,Wait",가요 / 발라드,04:09,남성,그룹
3895,그대가 내 안에 박혔다,How엔터테인먼트,NHN벅스,황치열,2019.01.06~2019.01.12,5837514,96,"황치열,그대가 내 안에 박혔다",가요 / 발라드,03:55,남성,솔로
3896,주지마,한국방송공사,카카오 M,"로꼬, 화사",2019.01.06~2019.01.12,5819545,97,"로꼬, 화사,주지마",가요 / 발라드,03:52,혼성,프로젝트
3897,첫눈처럼 너에게 가겠다 ,"영엔터테인먼트, 하얀달엔터테인먼트","지니뮤직, Stone Music Entertainment",김범수,2019.01.06~2019.01.12,5734337,98,"김범수,첫눈처럼 너에게 가겠다 ",가요 / 발라드,03:56,남성,솔로
3898,동화,"민트페이퍼, 광합성",카카오 M,멜로망스,2019.01.06~2019.01.12,5730853,99,"멜로망스,동화",가요 / 인디,03:47,남성,듀엣
3899,Save ,Stone Music Entertainment,지니뮤직,루피,2019.01.06~2019.01.12,5710105,100,"루피,Save ",가요 / 랩/힙합,05:08,남성,솔로
3900,La La Love,스타쉽엔터테인먼트,카카오 M,우주소녀,2019.01.06~2019.01.12,5692614,101,"우주소녀,La La Love",가요 / 댄스,03:23,여성,그룹
3901,셋 셀테니 ,YG Entertainment,지니뮤직,승리,2019.01.06~2019.01.12,5669306,102,"승리,셋 셀테니 ",가요 / 댄스,03:25,남성,솔로
3902,Universe,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,5628242,103,"EXO,Universe",가요 / 발라드,04:24,남성,그룹
3903,Answer _ Love Myself,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,5601873,104,"방탄소년단,Answer _ Love Myself",가요 / 랩/힙합,04:11,남성,그룹
3904,My Way,"윈드밀이엔티, 뮤직버디",뮤직앤뉴,이수,2019.01.06~2019.01.12,5601752,105,"이수,My Way",OST / 드라마,04:39,남성,솔로
3905,Gravity,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,5599327,106,"EXO,Gravity",가요 / 댄스,03:55,남성,그룹
3906,Power Up,SM Entertainment,Dreamus,레드벨벳,2019.01.06~2019.01.12,5498149,107,"레드벨벳,Power Up",가요 / 댄스,03:22,여성,그룹
3907,눈사람,안테나뮤직,지니뮤직,정승환,2019.01.06~2019.01.12,5496010,108,"정승환,눈사람",가요 / 발라드,03:56,남성,솔로
3908,BOOMERANG ,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,Wanna One ,2019.01.06~2019.01.12,5469643,109,"Wanna One ,BOOMERANG ",가요 / 댄스,03:04,남성,그룹
3909,닿은 순간 ,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,5379449,110,"EXO,닿은 순간 ",가요 / 댄스,03:07,남성,그룹
3910,1도 없어,플레이엠엔터테인먼트,카카오 M,에이핑크 ,2019.01.06~2019.01.12,5265365,111,"에이핑크 ,1도 없어",가요 / 댄스,03:19,여성,그룹
3911,Youth,Universal Music,Universal Music,Troye Sivan,2019.01.06~2019.01.12,5254241,112,"Troye Sivan,Youth",POP / 팝,03:05,남성,솔로
3912,넋두리,닐로엔터테인먼트,퍼플파인 엔터테인먼트,닐로 ,2019.01.06~2019.01.12,5209329,113,"닐로 ,넋두리",가요 / 발라드,05:07,남성,솔로
3913,What is Love?,JYP Entertainment,Dreamus,TWICE,2019.01.06~2019.01.12,5101497,114,"TWICE,What is Love?",가요 / 댄스,03:28,여성,그룹
3914,켜줘 ,"SWING Entertainment, Stone Music Entertainment",Stone Music Entertainment,Wanna One ,2019.01.06~2019.01.12,5030337,115,"Wanna One ,켜줘 ",가요 / 댄스,03:30,남성,그룹
3915,겨울이라 이런 거면 좋겠다,먼데이키즈 컴퍼니,카카오 M,먼데이 키즈 ,2019.01.06~2019.01.12,4983598,116,"먼데이 키즈 ,겨울이라 이런 거면 좋겠다",가요 / 발라드,05:12,남성,솔로
3916,취하고 싶다 ,678 MUSIC,뮤직파운드,황인욱,2019.01.06~2019.01.12,4980763,117,"황인욱,취하고 싶다 ",가요 / 발라드,03:44,남성,솔로
3917,24/7,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,4977311,118,"EXO,24/7",가요 / R&B/소울,04:03,남성,그룹
3918,눈을 맞춰,"iHQ, god",카카오 M,god,2019.01.06~2019.01.12,4960543,119,"god,눈을 맞춰",가요 / 발라드,04:03,남성,그룹
3919,뿜뿜,"엠엘디엔터테인먼트, 카카오 M",카카오 M,모모랜드 ,2019.01.06~2019.01.12,4952355,120,"모모랜드 ,뿜뿜",가요 / 댄스,03:29,여성,그룹
3920,그걸로 나는 충분해요,325 이엔씨,카카오 M,엠씨더맥스 ,2019.01.06~2019.01.12,4767735,121,"엠씨더맥스 ,그걸로 나는 충분해요",가요 / 발라드,04:52,남성,밴드
3921,좋니,미스틱스토리,카카오 M,윤종신,2019.01.06~2019.01.12,4757371,122,"윤종신,좋니",가요 / 발라드,05:28,남성,솔로
3922,비도 오고 그래서 ,Stone Music Entertainment,Stone Music Entertainment,헤이즈 ,2019.01.06~2019.01.12,4726620,123,"헤이즈 ,비도 오고 그래서 ",가요 / 랩/힙합,03:25,여성,솔로
3923,별이 빛나는 밤,RBW,카카오 M,마마무 ,2019.01.06~2019.01.12,4695113,124,"마마무 ,별이 빛나는 밤",가요 / 댄스,03:31,여성,그룹
3924,Believer,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2019.01.06~2019.01.12,4668307,125,"Imagine Dragons,Believer",POP / 락,03:24,남성,그룹
3925,Epiphany,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,4601012,126,"방탄소년단,Epiphany",가요 / 랩/힙합,04:00,남성,그룹
3926,소년점프 ,Beautiful Noise,지니뮤직,마미손,2019.01.06~2019.01.12,4586429,127,"마미손,소년점프 ",가요 / 랩/힙합,02:20,남성,솔로
3927,한,큐브엔터테인먼트,카카오 M,(여자)아이들,2019.01.06~2019.01.12,4544799,128,"(여자)아이들,한",가요 / 댄스,03:26,여성,그룹
3928,Is You,Stone Music Entertainment,Stone Music Entertainment,에일리,2019.01.06~2019.01.12,4542741,129,"에일리,Is You",OST / 드라마,04:24,여성,솔로
3929,여기 있을게 ,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,4540792,130,"EXO,여기 있을게 ",가요 / 발라드,03:39,남성,그룹
3930,Attention,Artist Partners,Warner Music,Charlie Puth,2019.01.06~2019.01.12,4538717,131,"Charlie Puth,Attention",POP / 팝,03:32,남성,솔로
3931,사임사임 ,Stone Music Entertainment,지니뮤직,"Coogie, SUPERBEE, D.Ark",2019.01.06~2019.01.12,4531359,132,"Coogie, SUPERBEE, D.Ark,사임사임 ",가요 / 전체,04:05,혼성,그룹
3932,Thunder,"KIDinaKORNER, Interscope Records",Universal Music,Imagine Dragons,2019.01.06~2019.01.12,4523909,133,"Imagine Dragons,Thunder",POP / 락,03:07,남성,그룹
3933,Sign,SM Entertainment,Dreamus,EXO,2019.01.06~2019.01.12,4513558,134,"EXO,Sign",가요 / 댄스,03:14,남성,그룹
3934,너의 목소리가 들려,325 이엔씨,카카오 M,엠씨더맥스 ,2019.01.06~2019.01.12,4504161,135,"엠씨더맥스 ,너의 목소리가 들려",가요 / 발라드,04:26,남성,밴드
3935,Anpanman,빅히트 엔터테인먼트,Dreamus,방탄소년단,2019.01.06~2019.01.12,4486721,136,"방탄소년단,Anpanman",가요 / 랩/힙합,03:53,남성,그룹
3936,SoulMate ,세븐시즌스,Sony Music,지코 ,2019.01.06~2019.01.12,4431745,137,"지코 ,SoulMate ",가요 / R&B/소울,03:39,남성,솔로
3937,어디에도,뮤직앤뉴,뮤직앤뉴,엠씨더맥스 ,2019.01.06~2019.01.12,4415171,138,"엠씨더맥스 ,어디에도",가요 / 발라드,05:31,남성,밴드
3938,밤 ,쏘스뮤직,카카오 M,여자친구 ,2019.01.06~2019.01.12,4390428,139,"여자친구 ,밤 ",가요 / 댄스,03:47,여성,그룹
3939,이 밤이 특별해진 건,메이크어스엔터테인먼트,카카오 M,어반 자카파 ,2019.01.06~2019.01.12,4381047,140,"어반 자카파 ,이 밤이 특별해진 건",가요 / 발라드,04:18,혼성,그룹
3940,불꽃놀이 ,"SWING Entertainment, Stone Music Entertainment",지니뮤직,Wanna One ,2019.01.06~2019.01.12,4376492,141,"Wanna One ,불꽃놀이 ",가요 / 댄스,03:38,남성,그룹
3941,술래,"SWING Entertainment, Stone Music Entertainment",지니뮤직,Wanna One ,2019.01.06~2019.01.12,4260604,142,"Wanna One ,술래",가요 / 댄스,03:06,남성,그룹
3942,All Falls Down ,MER Musikk,Sony Music,Alan Walker,2019.01.06~2019.01.12,4235754,143,"Alan Walker,All Falls Down ",POP / 일렉트로니카,03:19,남성,솔로
3943,좋은 날,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,멜로망스,2019.01.06~2019.01.12,4221722,144,"멜로망스,좋은 날",OST / 드라마,05:30,남성,듀엣
3944,instagram,Joombas Co Ltd & Universal Music,Universal Music,DEAN,2019.01.06~2019.01.12,4211239,145,"DEAN,instagram",가요 / R&B/소울,04:16,남성,솔로
3945,POP/STARS,라이엇 게임즈,Stone Music Entertainment,,2019.01.06~2019.01.12,4190433,146,",POP/STARS",가요 / 댄스,03:11,여성,프로젝트
3946,all of my life,메이크어스엔터테인먼트,카카오 M,박원,2019.01.06~2019.01.12,4190036,147,"박원,all of my life",가요 / 발라드,04:09,남성,솔로
3947,이 별,뮤직웍스,지니뮤직,길구봉구,2019.01.06~2019.01.12,4184189,148,"길구봉구,이 별",가요 / 발라드,03:58,남성,그룹
3948,Love Yourself,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,Justin Bieber,2019.01.06~2019.01.12,4135994,149,"Justin Bieber,Love Yourself",POP / 팝,03:54,남성,솔로
