주간,순위,song,name,lastweek_rank,지속기간,변경,조회수
20180817-20180823,17위,FAKE LOVE,방탄소년단,지난주 #16,12 weeks,-16.6%,742K
20180817-20180823,18위,"셋 셀테니 (1, 2, 3!)",승리,지난주 #20,5 weeks,-2.2%,705K
20180817-20180823,19위,What is Love?,TWICE(트와이스),지난주 #19,20 weeks,-12.2%,657K
20180817-20180823,20위,BBoom BBoom(뿜뿜),모모랜드(MOMOLAND),지난주 #21,33 weeks,-8.5%,654K
20180817-20180823,21위,Sunny Summer(여름여름해),여자친구(GFRIEND),지난주 #22,5 weeks,-5.7%,621K
20180817-20180823,22위,Tale(동화),멜로망스(MeloMance),지난주 #23,7 weeks,-8.5%,595K
20180817-20180823,23위,RETRO FUTURE,트리플 H,지난주 #17,5 weeks,-29.5%,582K
20180817-20180823,24위,지나오다,닐로,지난주 #25,21 weeks,-8.8%,570K
20180817-20180823,25위,Bad Boy,Red Velvet,지난주 #24,31 weeks,-15.4%,542K
20180817-20180823,26위,My Way,이수,지난주 #40,39 weeks,45.1%,517K
20180817-20180823,27위,A-TEEN,세븐틴(SEVENTEEN),지난주 #30,2 weeks,5.2%,498K
20180817-20180823,28위,밤 (Time for the moon night),여자친구(GFRIEND),지난주 #26,17 weeks,-17.3%,488K
20180817-20180823,29위,좋은 날 (Good Day),멜로망스(MeloMance),지난주 #27,6 weeks,-15.9%,469K
20180817-20180823,30위,넋두리,Nilo,지난주 #29,21 weeks,-7.7%,457K
20180817-20180823,31위,너 없인 안 된다 (Only one for me),비투비,지난주 #28,8 weeks,-19.2%,444K
20180817-20180823,32위,Roller Coaster,청하,지난주 #32,32 weeks,-1.9%,429K
20180817-20180823,33위,Girls Like You (feat. Cardi B(카디 비)),Maroon 5(마룬 파이브),지난주 #47,12 weeks,25.7%,412K
20180817-20180823,34위,DNA,방탄소년단,지난주 #31,48 weeks,-14.5%,395K
20180817-20180823,35위,Shine(빛나리),펜타곤(PENTAGON),지난주 #34,19 weeks,-10%,368K
20180817-20180823,36위,가을 안부 (When Autumn Comes),먼데이 키즈(Monday Kiz),지난주 #39,36 weeks,2.5%,368K
20180817-20180823,37위,그때 헤어지면 돼 (Only then),로이킴,지난주 #37,24 weeks,-7.4%,338K
20180817-20180823,38위,Heart Shaker,TWICE(트와이스),지난주 #36,38 weeks,-9.7%,331K
20180817-20180823,39위,Bingle Bangle(빙글뱅글),AOA,지난주 #33,13 weeks,-22.9%,331K
20180817-20180823,40위,Miss Fortune(불행) (feat. 빈첸(VINXEN)),오반,지난주 #35,10 weeks,-14.6%,326K
20180817-20180823,41위,"Work Out (Jvcki Wai, 키드밀리, No_eL, 양홍원 & 스윙스(Swings))",Jvcki Wai,지난주 #41,8 weeks,-7.3%,326K
20180817-20180823,42위,Cereal (feat. 지코(ZICO)),크러쉬(Crush),지난주 #38,5 weeks,-11.7%,320K
20180817-20180823,43위,Hookah Hookah (feat. Muhfaad),Bilal Saeed,--,1 week,--,320K
20180817-20180823,44위,Starry Night(별이 빛나는 밤),마마무(MAMAMOO),지난주 #42,25 weeks,-9.5%,315K
20180817-20180823,45위,Likey,TWICE(트와이스),지난주 #49,43 weeks,-2.2%,312K
20180817-20180823,46위,그날처럼 (Good old days),장덕철,지난주 #50,33 weeks,-1.9%,309K
20180817-20180823,47위,폰서트,10cm(십센치),지난주 #46,22 weeks,-8.7%,307K
20180817-20180823,48위,사랑했었다 (Still love you),이홍기,지난주 #48,13 weeks,-5.5%,305K
20180817-20180823,49위,Havana (feat. 영 서그),Camila Cabello(카밀라 카베요),지난주 #45,43 weeks,-11.8%,298K
20180817-20180823,50위,BAE,효린,--,1 week,--,297K
20180817-20180823,51위,비 (Rain),폴킴(Paul Kim),지난주 #52,9 weeks,-5.3%,288K
20180817-20180823,52위,Believer,Imagine Dragons(이매진 드래곤스),지난주 #51,15 weeks,-9.3%,285K
20180817-20180823,53위,"IndiGO (저스디스, 키드밀리 & No_eL)",저스디스,지난주 #54,9 weeks,1.2%,282K
20180817-20180823,54위,IAM,PRODUCE 48,--,1 week,--,276K
20180817-20180823,55위,"열애중 Love, ing",벤,지난주 #65,11 weeks,19%,264K
20180817-20180823,56위,1000%,썸머위시,--,1 week,--,263K
20180817-20180823,57위,CIDER,노라조,--,1 week,--,258K
20180817-20180823,58위,SEE SEA(바다보러갈래),효린,지난주 #53,5 weeks,-14%,249K
20180817-20180823,59위,See You Again,약속,--,1 week,--,246K
20180817-20180823,60위,행복(Happiness),Red Velvet,지난주 #86,15 weeks,47.9%,229K
20180817-20180823,61위,To Reach You,기억 조작단,--,1 week,--,223K
20180817-20180823,62위,호랑수월가 (feat. 나래),상록수,지난주 #59,17 weeks,-9%,219K
20180817-20180823,63위,Rollin' Rollin',PRODUCE 48,--,1 week,--,217K
20180817-20180823,64위,붕붕 (feat. Sik-K(식케이)),김하온(HAON),지난주 #55,19 weeks,-20.7%,215K
20180817-20180823,65위,Page 0 (멜로망스(MeloMance) & 태연(TAEYEON)),멜로망스(MeloMance),지난주 #8,2 weeks,-82.3%,214K
20180817-20180823,66위,안동역에서(New Ver.),Jin Sung,지난주 #62,6 weeks,-8.9%,210K
20180817-20180823,67위,Lateness(지각),장덕철,지난주 #61,7 weeks,-12.6%,207K
20180817-20180823,68위,그 날 (The Day),박효신,지난주 #67,7 weeks,-6.5%,203K
20180817-20180823,69위,Hello,허각,지난주 #70,9 weeks,-2.9%,203K
20180817-20180823,70위,Darkside (feat. Au/Ra & Tomine Harket),앨런 워커,지난주 #64,4 weeks,-13%,194K
20180817-20180823,71위,소리,이수현,지난주 #60,4 weeks,-18.8%,193K
20180817-20180823,72위,야생화(Wild Flower),박효신,--,24 weeks,--,192K
20180817-20180823,73위,Oh My! (어쩌나 ),세븐틴(SEVENTEEN),지난주 #58,6 weeks,-24.1%,190K
20180817-20180823,74위,Just Friends(욕심),멜로망스(MeloMance),지난주 #75,17 weeks,-3.5%,186K
20180817-20180823,75위,홍연,안예은,지난주 #69,11 weeks,-13.2%,184K
20180817-20180823,76위,Faded,앨런 워커,지난주 #77,20 weeks,-2.8%,182K
20180817-20180823,77위,Jasmine,DPR LIVE,지난주 #74,6 weeks,-10.1%,176K
20180817-20180823,78위,Perfect,Ed Sheeran(에드 시런),--,22 weeks,--,175K
20180817-20180823,79위,The Truth Untold (feat. Steve Aoki),방탄소년단,--,2 weeks,--,173K
20180817-20180823,80위,"No Brainer (feat. Justin Bieber(저스틴 비버), Chance The Rapper & 퀘이보)",DJ Khaled(디제이 칼리드),지난주 #73,4 weeks,-13.7%,171K
20180817-20180823,81위,WHERE R U FROM (feat.MINO),승리,지난주 #84,5 weeks,6.4%,168K
20180817-20180823,82위,Chandelier,Sia(시아),지난주 #79,15 weeks,-8.2%,168K
20180817-20180823,83위,Hi High,이달의 소녀,--,1 week,--,167K
20180817-20180823,84위,I will show you(보여줄게),에일리,지난주 #68,3 weeks,-22.1%,166K
20180817-20180823,85위,켜줘 (Light),Wanna One(워너원),지난주 #76,12 weeks,-15.3%,163K
20180817-20180823,86위,COCO BOTTLE,페노메코(PENOMECO),--,1 week,--,163K
20180817-20180823,87위,flex,"GIRIBOY(기리보이), Kid Milli, NO:EL, Swings(스윙스)",--,1 week,--,161K
20180817-20180823,88위,Between Us (Japanese Ver.),라붐 (LABOUM),지난주 #78,3 weeks,-12.1%,161K
20180817-20180823,89위,Natural,Imagine Dragons(이매진 드래곤스),지난주 #88,4 weeks,6.7%,159K
20180817-20180823,90위,party (SHUT DOWN),Sik-K(식케이),지난주 #81,5 weeks,-9.4%,158K
20180817-20180823,91위,Anpanman,방탄소년단,지난주 #56,7 weeks,-38.7%,158K
20180817-20180823,92위,Dumb Dumb,Red Velvet,--,25 weeks,--,154K
20180817-20180823,93위,이방인 (Stranger),박원,--,1 week,--,153K
20180817-20180823,94위,When it rains(비가 내리면),비투비 블루,지난주 #72,3 weeks,-26.4%,152K
20180817-20180823,95위,WooWoo,DIA (다이아),지난주 #71,2 weeks,-28.4%,149K
20180817-20180823,96위,Attention,Charlie Puth,지난주 #90,12 weeks,1.2%,148K
20180817-20180823,97위,In My Feelings - 'KIKI! DO YOU LOVE ME!' [LOOP],Drake(드레이크),지난주 #82,4 weeks,-13.7%,148K
20180817-20180823,98위,Stay (Zedd(제드) & Alessia Cara(알레시아 카라)),Zedd(제드),지난주 #85,11 weeks,-6.5%,147K
20180817-20180823,99위,"Sad March (From Mr. Sunshine [Original Television Soundtrack Pt, 2])",Elaine,--,1 week,--,140K
20180817-20180823,100위,2002,Anne-Marie,지난주 #95,5 weeks,0.6%,138K
20180810-20180816,1위,Power Up,Red Velvet,지난주 #1,2 weeks,-3.4%,4.14M
20180810-20180816,2위,Dance The Night Away,TWICE(트와이스),지난주 #2,5 weeks,-26.2%,2.97M
20180810-20180816,3위,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,지난주 #3,8 weeks,-22.4%,2.53M
20180810-20180816,4위,BAAM,모모랜드(MOMOLAND),지난주 #4,7 weeks,-17.7%,1.69M
20180810-20180816,5위,Red Flavor (빨간 맛),Red Velvet,--,53 weeks,--,1.44M
20180810-20180816,6위,죽겠다(KILLING ME),iKON,지난주 #5,3 weeks,-20.7%,1.43M
20180810-20180816,7위,HANN (Alone) (한) (一),(여자)아이들,--,1 week,--,1.32M
20180810-20180816,8위,Page 0 (멜로망스(MeloMance) & 태연(TAEYEON)),멜로망스(MeloMance),--,1 week,--,1.21M
20180810-20180816,9위,1도 없어(I'm so sick),에이핑크,지난주 #6,7 weeks,-19.4%,1.15M
20180810-20180816,10위,Travel(여행),볼빨간사춘기,지난주 #7,12 weeks,-13%,1.09M
20180810-20180816,11위,LATATA,(여자)아이들,지난주 #14,8 weeks,18.9%,1000K
20180810-20180816,12위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),지난주 #11,21 weeks,2.8%,994K
20180810-20180816,13위,LOVE SCENARIO,iKON,지난주 #9,30 weeks,-12.6%,964K
20180810-20180816,14위,Love U,청하,지난주 #12,5 weeks,6.2%,950K
20180810-20180816,15위,Egotistic(너나 해),마마무(MAMAMOO),지난주 #10,5 weeks,-6.4%,937K
20180810-20180816,16위,FAKE LOVE,방탄소년단,지난주 #8,11 weeks,-20.6%,889K
20180810-20180816,17위,RETRO FUTURE,트리플 H,지난주 #13,4 weeks,-7.4%,826K
20180810-20180816,18위,lie (미안해),양다일,지난주 #18,22 weeks,-1.6%,781K
20180810-20180816,19위,What is Love?,TWICE(트와이스),지난주 #15,19 weeks,-9.6%,748K
20180810-20180816,20위,"셋 셀테니 (1, 2, 3!)",승리,지난주 #19,4 weeks,-7.8%,720K
20180810-20180816,21위,BBoom BBoom(뿜뿜),모모랜드(MOMOLAND),지난주 #17,32 weeks,-11.3%,714K
20180810-20180816,22위,Sunny Summer(여름여름해),여자친구(GFRIEND),지난주 #16,4 weeks,-18.8%,658K
20180810-20180816,23위,Tale(동화),멜로망스(MeloMance),지난주 #21,6 weeks,-11.7%,651K
20180810-20180816,24위,Bad Boy,Red Velvet,지난주 #20,30 weeks,-14.8%,641K
20180810-20180816,25위,지나오다,닐로,지난주 #22,20 weeks,-14.5%,625K
20180810-20180816,26위,밤 (Time for the moon night),여자친구(GFRIEND),지난주 #24,16 weeks,-8.7%,590K
20180810-20180816,27위,좋은 날 (Good Day),멜로망스(MeloMance),지난주 #45,5 weeks,67.6%,558K
20180810-20180816,28위,너 없인 안 된다 (Only one for me),비투비,지난주 #23,7 weeks,-18.4%,550K
20180810-20180816,29위,넋두리,Nilo,지난주 #28,20 weeks,-3.3%,495K
20180810-20180816,30위,A-TEEN,세븐틴(SEVENTEEN),--,1 week,--,474K
20180810-20180816,31위,DNA,방탄소년단,지난주 #29,47 weeks,-4.1%,462K
20180810-20180816,32위,Roller Coaster,청하,지난주 #33,31 weeks,6.5%,437K
20180810-20180816,33위,Bingle Bangle(빙글뱅글),AOA,지난주 #27,12 weeks,-20%,429K
20180810-20180816,34위,Shine(빛나리),펜타곤(PENTAGON),지난주 #25,18 weeks,-27%,409K
20180810-20180816,35위,Miss Fortune(불행) (feat. 빈첸(VINXEN)),오반,지난주 #30,9 weeks,-18.8%,382K
20180810-20180816,36위,Heart Shaker,TWICE(트와이스),지난주 #35,37 weeks,-6.4%,367K
20180810-20180816,37위,그때 헤어지면 돼 (Only then),로이킴,지난주 #42,23 weeks,5.8%,365K
20180810-20180816,38위,Cereal (feat. 지코(ZICO)),크러쉬(Crush),지난주 #26,4 weeks,-33.8%,363K
20180810-20180816,39위,가을 안부 (When Autumn Comes),먼데이 키즈(Monday Kiz),지난주 #43,35 weeks,4.3%,359K
20180810-20180816,40위,My Way,이수,지난주 #32,38 weeks,-13.4%,356K
20180810-20180816,41위,"Work Out (Jvcki Wai, 키드밀리, No_eL, 양홍원 & 스윙스(Swings))",Jvcki Wai,지난주 #34,7 weeks,-10.7%,352K
20180810-20180816,42위,Starry Night(별이 빛나는 밤),마마무(MAMAMOO),지난주 #40,24 weeks,-1.4%,348K
20180810-20180816,43위,피카부 (Peek-A-Boo),Red Velvet,지난주 #36,35 weeks,-8.3%,346K
20180810-20180816,44위,Up & Down,EXID,지난주 #92,22 weeks,135.1%,343K
20180810-20180816,45위,Havana (feat. 영 서그),Camila Cabello(카밀라 카베요),지난주 #41,42 weeks,-3.2%,338K
20180810-20180816,46위,폰서트,10cm(십센치),지난주 #49,21 weeks,2.9%,337K
20180810-20180816,47위,Girls Like You (feat. Cardi B(카디 비)),Maroon 5(마룬 파이브),지난주 #51,11 weeks,4.4%,328K
20180810-20180816,48위,사랑했었다 (Still love you),이홍기,지난주 #47,12 weeks,-1.7%,323K
20180810-20180816,49위,Likey,TWICE(트와이스),지난주 #39,42 weeks,-10.4%,319K
20180810-20180816,50위,그날처럼 (Good old days),장덕철,지난주 #50,32 weeks,-1.2%,315K
20180810-20180816,51위,Believer,Imagine Dragons(이매진 드래곤스),지난주 #46,14 weeks,-5.5%,314K
20180810-20180816,52위,비 (Rain),폴킴(Paul Kim),지난주 #54,8 weeks,4.7%,304K
20180810-20180816,53위,SEE SEA(바다보러갈래),효린,지난주 #31,4 weeks,-30.8%,290K
20180810-20180816,54위,"IndiGO (저스디스, 키드밀리 & No_eL)",저스디스,지난주 #57,8 weeks,4.4%,279K
20180810-20180816,55위,붕붕 (feat. Sik-K(식케이)),김하온(HAON),지난주 #52,18 weeks,-9.8%,271K
20180810-20180816,56위,Anpanman,방탄소년단,지난주 #56,6 weeks,-4.3%,257K
20180810-20180816,57위,So Special  (feat. 마이크로닷),나하은,--,12 weeks,--,254K
20180810-20180816,58위,Oh My! (어쩌나 ),세븐틴(SEVENTEEN),지난주 #44,5 weeks,-26.5%,251K
20180810-20180816,59위,호랑수월가 (feat. 나래),상록수,지난주 #62,16 weeks,-5.4%,240K
20180810-20180816,60위,소리,이수현,지난주 #55,3 weeks,-13.1%,237K
20180810-20180816,61위,Lateness(지각),장덕철,지난주 #61,6 weeks,-9.2%,236K
20180810-20180816,62위,안동역에서(New Ver.),Jin Sung,지난주 #64,5 weeks,-5.9%,231K
20180810-20180816,63위,Rollin' (New Version),브레이브걸스,--,3 weeks,--,225K
20180810-20180816,64위,Darkside (feat. Au/Ra & Tomine Harket),앨런 워커,지난주 #65,3 weeks,-8.6%,223K
20180810-20180816,65위,"열애중 Love, ing",벤,지난주 #73,10 weeks,10.8%,222K
20180810-20180816,66위,Truth or Dare,가인,지난주 #90,2 weeks,46.2%,218K
20180810-20180816,67위,그 날 (The Day),박효신,지난주 #58,6 weeks,-18.3%,218K
20180810-20180816,68위,I will show you(보여줄게),에일리,지난주 #76,2 weeks,7.9%,213K
20180810-20180816,69위,홍연,안예은,지난주 #69,10 weeks,-4.8%,212K
20180810-20180816,70위,Hello,허각,지난주 #74,8 weeks,5.5%,209K
20180810-20180816,71위,WooWoo,DIA (다이아),--,1 week,--,209K
20180810-20180816,72위,When it rains(비가 내리면),비투비 블루,지난주 #37,2 weeks,-43.3%,206K
20180810-20180816,73위,"No Brainer (feat. Justin Bieber(저스틴 비버), Chance The Rapper & 퀘이보)",DJ Khaled(디제이 칼리드),지난주 #66,3 weeks,-18.6%,199K
20180810-20180816,74위,Jasmine,DPR LIVE,지난주 #71,5 weeks,-3%,196K
20180810-20180816,75위,Just Friends(욕심),멜로망스(MeloMance),지난주 #70,16 weeks,-11.8%,193K
20180810-20180816,76위,켜줘 (Light),Wanna One(워너원),지난주 #68,11 weeks,-13.8%,193K
20180810-20180816,77위,Faded,앨런 워커,지난주 #79,19 weeks,2.9%,188K
20180810-20180816,78위,Between Us (Japanese Ver.),라붐 (LABOUM),지난주 #93,2 weeks,26.1%,183K
20180810-20180816,79위,Chandelier,Sia(시아),지난주 #77,14 weeks,-4.9%,183K
20180810-20180816,80위,Way Back Home,숀,--,1 week,--,176K
20180810-20180816,81위,party (SHUT DOWN),Sik-K(식케이),지난주 #72,4 weeks,-13.2%,174K
20180810-20180816,82위,In My Feelings - 'KIKI! DO YOU LOVE ME!' [LOOP],Drake(드레이크),지난주 #38,3 weeks,-51.9%,171K
20180810-20180816,83위,#Cookie Jar,Red Velvet,지난주 #60,8 weeks,-38.2%,161K
20180810-20180816,84위,WHERE R U FROM (feat.MINO),승리,지난주 #67,4 weeks,-30.9%,158K
20180810-20180816,85위,Stay (Zedd(제드) & Alessia Cara(알레시아 카라)),Zedd(제드),지난주 #83,10 weeks,0.5%,157K
20180810-20180816,86위,행복(Happiness),Red Velvet,--,14 weeks,--,155K
20180810-20180816,87위,Youngblood,5 Seconds of Summer,--,1 week,--,153K
20180810-20180816,88위,Natural,Imagine Dragons(이매진 드래곤스),지난주 #85,3 weeks,-3.7%,149K
20180810-20180816,89위,죽을 만큼 아파서 (Feat. 멜로우),MC 몽,지난주 #99,7 weeks,7%,148K
20180810-20180816,90위,Attention,Charlie Puth,지난주 #86,11 weeks,-5.2%,146K
20180810-20180816,91위,My Pace,스트레이 키즈,지난주 #87,2 weeks,-4.6%,146K
20180810-20180816,92위,달리 (Dally) (feat. 그레이),효린,--,12 weeks,--,145K
20180810-20180816,93위,I'm a Mess,Bebe Rexha(비비 렉사),지난주 #91,5 weeks,-3.1%,144K
20180810-20180816,94위,Simon Dominic(사이먼 도미닉),사이먼 도미닉,지난주 #88,2 weeks,-8.6%,140K
20180810-20180816,95위,2002,Anne-Marie,지난주 #100,4 weeks,-0.1%,137K
20180810-20180816,96위,One Call Away,Charlie Puth,지난주 #95,14 weeks,-6%,135K
20180810-20180816,97위,Ice Cream Cake,Red Velvet,--,25 weeks,--,135K
20180810-20180816,98위,"다시, 우리",길구봉구,지난주 #80,12 weeks,-25.2%,135K
20180810-20180816,99위,God is a woman,Ariana Grande(아리아나 그란데),지난주 #59,5 weeks,-48.7%,135K
20180810-20180816,100위,EVERYDAY,WINNER,지난주 #89,20 weeks,-11.6%,133K
20180803-20180809,1위,Power Up,Red Velvet,--,1 week,--,4.29M
20180803-20180809,2위,Dance The Night Away,TWICE(트와이스),지난주 #1,4 weeks,-18%,4.02M
20180803-20180809,3위,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,지난주 #2,7 weeks,-18.9%,3.26M
20180803-20180809,4위,BAAM,모모랜드(MOMOLAND),지난주 #3,6 weeks,-15.7%,2.05M
20180803-20180809,5위,죽겠다(KILLING ME),iKON,지난주 #82,2 weeks,"1,096.7%",1.8M
20180803-20180809,6위,1도 없어(I'm so sick),에이핑크,지난주 #4,6 weeks,-5.6%,1.43M
20180803-20180809,7위,Travel(여행),볼빨간사춘기,지난주 #5,11 weeks,-16.8%,1.26M
20180803-20180809,8위,FAKE LOVE,방탄소년단,지난주 #7,10 weeks,-8.2%,1.12M
20180803-20180809,9위,LOVE SCENARIO,iKON,지난주 #8,29 weeks,-4.9%,1.1M
20180803-20180809,10위,Egotistic(너나 해),마마무(MAMAMOO),지난주 #6,4 weeks,-19.7%,1M
20180803-20180809,11위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),지난주 #11,20 weeks,-2.7%,966K
20180803-20180809,12위,Love U,청하,지난주 #9,4 weeks,-12.4%,894K
20180803-20180809,13위,RETRO FUTURE,트리플 H,지난주 #21,3 weeks,30.7%,892K
20180803-20180809,14위,LATATA,(여자)아이들,지난주 #18,7 weeks,1.4%,841K
20180803-20180809,15위,What is Love?,TWICE(트와이스),지난주 #13,18 weeks,-13.2%,827K
20180803-20180809,16위,Sunny Summer(여름여름해),여자친구(GFRIEND),지난주 #10,3 weeks,-18.5%,810K
20180803-20180809,17위,BBoom BBoom(뿜뿜),모모랜드(MOMOLAND),지난주 #14,31 weeks,-13.3%,806K
20180803-20180809,18위,lie (미안해),양다일,지난주 #16,21 weeks,-7.2%,793K
20180803-20180809,19위,"셋 셀테니 (1, 2, 3!)",승리,지난주 #12,3 weeks,-19.7%,782K
20180803-20180809,20위,Bad Boy,Red Velvet,지난주 #31,29 weeks,61.5%,753K
20180803-20180809,21위,Tale(동화),멜로망스(MeloMance),지난주 #17,5 weeks,-12.7%,736K
20180803-20180809,22위,지나오다,닐로,지난주 #15,19 weeks,-17.2%,731K
20180803-20180809,23위,너 없인 안 된다 (Only one for me),비투비,지난주 #20,6 weeks,-8.5%,673K
20180803-20180809,24위,밤 (Time for the moon night),여자친구(GFRIEND),지난주 #19,15 weeks,-13.1%,646K
20180803-20180809,25위,Shine(빛나리),펜타곤(PENTAGON),지난주 #25,17 weeks,3.8%,561K
20180803-20180809,26위,Cereal (feat. 지코(ZICO)),크러쉬(Crush),지난주 #24,3 weeks,-10%,547K
20180803-20180809,27위,Bingle Bangle(빙글뱅글),AOA,지난주 #22,11 weeks,-19.2%,537K
20180803-20180809,28위,넋두리,Nilo,지난주 #26,19 weeks,-2.7%,512K
20180803-20180809,29위,DNA,방탄소년단,지난주 #27,46 weeks,-8.6%,481K
20180803-20180809,30위,Miss Fortune(불행) (feat. 빈첸(VINXEN)),오반,지난주 #28,8 weeks,-10.4%,471K
20180803-20180809,31위,SEE SEA(바다보러갈래),효린,지난주 #46,3 weeks,30.7%,419K
20180803-20180809,32위,My Way,이수,지난주 #32,37 weeks,-4.7%,411K
20180803-20180809,33위,Roller Coaster,청하,지난주 #29,30 weeks,-13.9%,410K
20180803-20180809,34위,"Work Out (Jvcki Wai, 키드밀리, No_eL, 양홍원 & 스윙스(Swings))",Jvcki Wai,지난주 #34,6 weeks,-7.6%,395K
20180803-20180809,35위,Heart Shaker,TWICE(트와이스),지난주 #33,36 weeks,-8.6%,392K
20180803-20180809,36위,피카부 (Peek-A-Boo),Red Velvet,지난주 #48,34 weeks,18.9%,377K
20180803-20180809,37위,When it rains(비가 내리면),비투비 블루,--,1 week,--,364K
20180803-20180809,38위,In My Feelings - 'KIKI! DO YOU LOVE ME!' [LOOP],Drake(드레이크),지난주 #68,2 weeks,96.9%,356K
20180803-20180809,39위,Likey,TWICE(트와이스),지난주 #35,41 weeks,-6.3%,356K
20180803-20180809,40위,Starry Night(별이 빛나는 밤),마마무(MAMAMOO),지난주 #38,23 weeks,-2.9%,353K
20180803-20180809,41위,Havana (feat. 영 서그),Camila Cabello(카밀라 카베요),지난주 #45,41 weeks,7.9%,349K
20180803-20180809,42위,그때 헤어지면 돼 (Only then),로이킴,지난주 #37,22 weeks,-7.6%,345K
20180803-20180809,43위,가을 안부 (When Autumn Comes),먼데이 키즈(Monday Kiz),지난주 #36,34 weeks,-9.3%,344K
20180803-20180809,44위,Oh My! (어쩌나 ),세븐틴(SEVENTEEN),지난주 #30,4 weeks,-28.3%,341K
20180803-20180809,45위,좋은 날 (Good Day),멜로망스(MeloMance),--,4 weeks,--,333K
20180803-20180809,46위,Believer,Imagine Dragons(이매진 드래곤스),지난주 #47,13 weeks,3.8%,332K
20180803-20180809,47위,사랑했었다 (Still love you),이홍기,지난주 #39,11 weeks,-8.2%,328K
20180803-20180809,48위,You,멜로망스(MeloMance),지난주 #43,21 weeks,-2.1%,328K
20180803-20180809,49위,폰서트,10cm(십센치),지난주 #41,20 weeks,-4.2%,327K
20180803-20180809,50위,그날처럼 (Good old days),장덕철,지난주 #40,31 weeks,-9.8%,319K
20180803-20180809,51위,Girls Like You (feat. Cardi B(카디 비)),Maroon 5(마룬 파이브),지난주 #42,10 weeks,-7.2%,314K
20180803-20180809,52위,붕붕 (feat. Sik-K(식케이)),김하온(HAON),지난주 #44,17 weeks,-9.3%,300K
20180803-20180809,53위,365 FRESH,트리플 H,--,7 weeks,--,294K
20180803-20180809,54위,비 (Rain),폴킴(Paul Kim),지난주 #54,7 weeks,-0.4%,290K
20180803-20180809,55위,소리,이수현,지난주 #55,2 weeks,-1.3%,273K
20180803-20180809,56위,Anpanman,방탄소년단,지난주 #50,5 weeks,-13%,269K
20180803-20180809,57위,"IndiGO (저스디스, 키드밀리 & No_eL)",저스디스,지난주 #60,7 weeks,11%,267K
20180803-20180809,58위,그 날 (The Day),박효신,지난주 #53,5 weeks,-10.2%,267K
20180803-20180809,59위,God is a woman,Ariana Grande(아리아나 그란데),지난주 #73,4 weeks,52.3%,262K
20180803-20180809,60위,#Cookie Jar,Red Velvet,지난주 #65,7 weeks,28.1%,261K
20180803-20180809,61위,Lateness(지각),장덕철,지난주 #52,5 weeks,-12.9%,260K
20180803-20180809,62위,호랑수월가 (feat. 나래),상록수,지난주 #62,15 weeks,12.3%,254K
20180803-20180809,63위,첫눈처럼 너에게 가겠다 I will go to you like the first snow,에일리,--,40 weeks,--,252K
20180803-20180809,64위,안동역에서(New Ver.),Jin Sung,지난주 #59,4 weeks,-0.2%,245K
20180803-20180809,65위,Darkside (feat. Au/Ra & Tomine Harket),앨런 워커,지난주 #85,2 weeks,67%,244K
20180803-20180809,66위,"No Brainer (feat. Justin Bieber(저스틴 비버), Chance The Rapper & 퀘이보)",DJ Khaled(디제이 칼리드),지난주 #51,2 weeks,-19.1%,244K
20180803-20180809,67위,WHERE R U FROM (feat.MINO),승리,지난주 #23,3 weeks,-63.3%,228K
20180803-20180809,68위,켜줘 (Light),Wanna One(워너원),지난주 #57,10 weeks,-14.4%,223K
20180803-20180809,69위,홍연,안예은,지난주 #61,9 weeks,-3.4%,222K
20180803-20180809,70위,Just Friends(욕심),멜로망스(MeloMance),지난주 #58,15 weeks,-14.2%,218K
20180803-20180809,71위,Jasmine,DPR LIVE,지난주 #69,4 weeks,12.1%,202K
20180803-20180809,72위,party (SHUT DOWN),Sik-K(식케이),지난주 #71,3 weeks,15%,201K
20180803-20180809,73위,"열애중 Love, ing",벤,지난주 #66,9 weeks,5%,200K
20180803-20180809,74위,Hello,허각,지난주 #64,7 weeks,-4.4%,198K
20180803-20180809,75위,Power Up,Red Velvet,--,1 week,--,198K
20180803-20180809,76위,I will show you(보여줄게),에일리,--,1 week,--,198K
20180803-20180809,77위,Chandelier,Sia(시아),지난주 #63,13 weeks,-7.7%,192K
20180803-20180809,78위,Ride on the wind,KARD,지난주 #97,2 weeks,47%,191K
20180803-20180809,79위,Faded,앨런 워커,지난주 #74,18 weeks,6.9%,182K
20180803-20180809,80위,"다시, 우리",길구봉구,지난주 #72,11 weeks,4.6%,180K
20180803-20180809,81위,Thinking Of (feat. 오반 & Ji Su-min),숀,지난주 #56,4 weeks,-36.6%,173K
20180803-20180809,82위,I'll be yours Instrumental,걸스데이(Girl's Day),--,11 weeks,--,159K
20180803-20180809,83위,Stay (Zedd(제드) & Alessia Cara(알레시아 카라)),Zedd(제드),지난주 #76,9 weeks,-4.9%,157K
20180803-20180809,84위,Dance To This (feat. Ariana Grande(아리아나 그란데)),Troye Sivan(트로이 시반),지난주 #77,3 weeks,-4.5%,156K
20180803-20180809,85위,Natural,Imagine Dragons(이매진 드래곤스),지난주 #67,2 weeks,-18.9%,155K
